Code,Network,Entry
2406,CG,5/8 threaded bolt on top of concrete pillar
ARTA,CG,Concrete pillar with 3 stainless rods drilled to 0.5m into concrete butress.Note that between 2006-10-12 and 2006-11-08 the existing pillar adjacent to this one was occupied using the code ATIA as a test.
ATIA,XX,Test deployment for site ARTA
AUCK,LI,Site upgraded to Trimble NETRS/Trimble Zephyr combination on 3rd November 2005
BHST,CG,Hard rock (greywacke) at surface
BLUF,LI,5/8 thread in centre of 120 mm diameter stainless steel plate set in concrete pillar
CKID,CG,Replace trig B16N. No rock outcropping only clay/mudstone
CLRR,CG,2016-13-11 M7.8 Kaikoura event response (scientific target: postseismic signal). Temporary site (LRR1) 20m from the deep braced monument recorded the first period after the Kaikoura earthquake.
CLS3,XX,monument removed to allow for retaining work
CLS5,XX,Equipment has been dismantled on 2016-04-26 because reasons. The monument has been left on place.
CLS6,XX,Site used for landslide monitoring. Mark has been dismantled on 2016-08-28
CLSG,XX,site has been dismantled after the June 13 2011 Christchurch earthquake due to its proximity to a cliff edge and its unsafety
CMBL,CG,5/8 thread in centre of 160 mm diameter stainless steel plate set in 320 mm diameter concrete pillar. Pillar plate is 1601 mm above the top of previous mark (A Cape Campbell B28C).
FALE,GN,IGS Pacific site. Post is cemented into a hole excavated approximately 1m deep in weathered igneous bedrock. Geodetic reference point is top-center of steel coupler atop steel mast. 
GDS1,XX,temporary mark deployed for M7.8 Kaikoura earthquake sequence monitoring. Tribrach found out of level on 2017-02-22 and readjusted at the same time of the NetR9 receiver swap.
GLDB,LI,5/8 thread in centre of 100 mm diameter stainless steel plate set in concrete pillar.
GLOK,CG,2016-13-11 M7.8 Kaikoura event response (scientific target: postseismic signal). A temporary site (LOK1) 350m SW of the deep braced monument recorded the initial period after the earthquake.
GRAC,GN,GNS site moved from Gracefield to Avalon Lower Hutt
GRNG,CG,This land is broad and flat with incised gullies (100m+ between gullies). Stratigraphy in the road cut shows flat lying layered seds and there is iron cemented river gravel in the gullies.
