Name,Latitude,Longitude,Level
Ashburton,-43.9,171.75,1
Auckland,-36.85,174.767,0
Akaroa,-43.817,172.967,2
Albany,-36.733,174.683,3
Albury,-44.233,170.867,3
Alexandra,-45.25,169.383,2
Amberley,-43.167,172.733,2
Aria,-38.567,174.983,3
Arthur's Pass,-42.95,171.567,2
Ashhurst,-40.283,175.75,3
Atiamuri,-38.4,176.033,3
Awanui,-35.05,173.267,3
Blenheim,-41.517,173.95,1
Balclutha,-46.233,169.733,2
Balfour,-45.85,168.583,3
Benneydale,-38.517,175.367,3
Blackball,-42.367,171.417,3
Bombay,-37.2,174.983,3
Brighton,-45.95,170.333,3
Brightwater,-41.383,173.1,3
Broadwood,-35.267,173.383,3
Bulls,-40.183,175.383,3
Cambridge,-37.883,175.467,1
Christchurch,-43.533,172.633,0
Cape Reinga,-34.433,172.683,2
Carterton,-41.017,175.533,3
Castlepoint,-40.9,176.217,2
Cave,-44.317,170.95,3
Cheviot,-42.817,173.267,2
Clinton,-46.2,169.367,3
Coalgate,-43.483,171.967,3
Collingwood,-40.683,172.683,2
Coromandel,-36.75,175.5,3
Cromwell,-45.05,169.2,3
Culverden,-42.783,172.85,2
Dunedin,-45.883,170.5,0
Dannevirke,-40.2,176.1,2
Darfield,-43.483,172.117,3
Dargaville,-35.933,173.867,3
Dipton,-45.9,168.383,3
Dobson,-42.467,171.3,3
Drury,-37.1,174.95,3
Edgecumbe,-37.983,176.817,3
Eketahuna,-40.65,175.7,2
Eltham,-39.433,174.3,3
Feilding,-40.233,175.567,1
Fairlie,-44.1,170.833,2
Featherston,-41.117,175.317,3
Foxton,-40.467,175.283,3
French Pass,-40.933,173.833,2
Gisborne,-38.667,178.017,1
Gore,-46.1,168.933,1
Greymouth,-42.45,171.2,1
Geraldine,-44.1,171.233,2
Glenorchy,-44.85,168.383,3
Greta Valley,-42.933,173.1,3
Greytown,-41.083,175.45,3
Hamilton,-37.783,175.283,1
Hastings,-39.65,176.85,1
Hawera,-39.583,174.283,1
Haast,-43.883,169.05,2
Halfmoon Bay,-46.9,168.133,3
Hanmer Springs,-42.517,172.833,2
Harihari,-43.15,170.567,3
Havelock,-41.283,173.767,3
Havelock North,-39.667,176.883,3
Hawarden,-42.933,172.65,3
Helensville,-36.683,174.45,3
Hikuai,-37.067,175.767,3
Hikurangi,-35.6,174.283,3
Hokitika,-42.717,170.967,2
Hunterville,-39.933,175.567,2
Huntly,-37.567,175.167,3
Invercargill,-46.417,168.367,1
Inglewood,-39.167,174.183,3
Kaeo,-35.1,173.783,3
Kaiapoi,-43.383,172.65,3
Kaikohe,-35.417,173.8,3
Kaikoura,-42.4,173.683,2
Kaitaia,-35.117,173.267,2
Kaitangata,-46.283,169.85,3
Kaiwaka,-36.167,174.433,3
Karamea,-41.25,172.117,2
Katikati,-37.55,175.917,3
Kaukapakapa,-36.617,174.5,3
Kawakawa,-35.367,174.067,3
Kawerau,-38.083,176.7,3
Kawhia,-38.067,174.817,2
Kerikeri,-35.233,173.95,3
Kimbolton,-40.067,175.783,3
Kohukohu,-35.367,173.533,3
Kotemaori,-39.067,177.033,3
Kumara,-42.633,171.183,3
Kumeu,-36.783,174.567,3
Kurow,-44.733,170.467,3
Levin,-40.617,175.283,1
Lawrence,-45.917,169.683,3
Leeston,-43.767,172.3,3
Little River,-43.767,172.783,3
Lower Hutt,-41.217,174.917,3
Lumsden,-45.733,168.45,2
Lyttelton,-43.6,172.7,3
Masterton,-40.95,175.65,1
Mahoenui,-38.583,174.833,3
