Gauge,Network,Analysis Latitude,Analysis Longitude,Bulletin Header,WMO Number,Start Date,End Date
NZA,TD,-42.3707,176.9109,SZNZ41 NZKL,5501002,2019-12-21T17:00:00Z,2021-12-17T23:59:59Z
NZA,TD-42.3717,176.9093,SZNZ41 NZKL,5501002,2021-12-18T00:00:00Z,9999-01-01T00:00:00Z
NZB,TD,-40.6003,179.0996,SZNZ42 NZKL,5501003,2020-09-18T00:00:00Z,2022-08-14T18:00:00Z
NZB,TD,-40.5992,179.0962,SZNZ42 NZKL,5501003,2022-08-15T20:15:00Z,9999-01-01T00:00:00Z
NZC,TD,-38.2001,-179.7978,SZNZ43 NZKL,5401000,2019-12-12T18:00:00Z,2021-12-10T23:59:59Z
NZC,TD,-38.2004,-179.7978,SZNZ43 NZKL,5401000,2021-12-11T00:00:00Z,9999-01-01T00:00:00Z
NZD,TD,-36.0998,178.6037,SZNZ44 NZKL,5501004,2021-07-23T00:00:00Z,9999-01-01T00:00:00Z
NZE,TD,-36.0493,-177.7080,SZNZ45 NZKL,5401001,2019-12-18T17:00:00Z,2021-12-12T23:59:59Z
NZE,TD,-36.0499,-177.6974,SZNZ45 NZKL,5401001,2021-12-13T00:00:00Z,9999-01-01T00:00:00Z
NZF,TD,-29.6843,-175.0124,SZNZ46 NZKL,5401002,2019-12-17T00:00:00Z,2022-08-09T18:00:00Z
NZF,TD,-29.6826,-175.0125,SZNZ46 NZKL,5401002,2022-08-11T00:15:00Z,9999-01-01T00:00:00Z
NZG,TD,-23.3516,-173.4012,SZPA47 NZKL,5401003,2020-09-10T00:00:00Z,2022-03-19T05:00:00Z
NZG,TD,-23.3517,-173.4018,SZPA47 NZKL,5401003,2022-07-30T20:15:00Z,9999-01-01T00:00:00Z
NZH,TD,-20.0896,-171.8599,SZPA48 NZKL,5401004,2020-09-04T00:00:00Z,2020-12-15T14:00:00Z
NZH,TD,-20.0885,-171.8630,SZPA48 NZKL,5401004,2022-08-01T20:15:00Z,9999-01-01T00:00:00Z
NZI,TD,-16.8921,-171.1904,SZPA49 NZKL,5401005,2020-09-08T00:00:00Z,2021-05-07T04:00:00Z
NZI,TD,-16.8890,-171.1905,SZPA49 NZKL,5401005,2022-08-03T21:15:00Z,9999-01-01T00:00:00Z
NZJ,TD,-26.6672,163.9549,SZPA50 NZKL,5501005,2021-07-09T00:00:00Z,9999-01-01T00:00:00Z
NZK,TD,-24.3093,169.4988,SZPA51 NZKL,5501006,2021-07-15T00:00:00Z,9999-01-01T00:00:00Z
NZL,TD,-19.3096,166.782,SZPA52 NZKL,5501007,2021-07-12T00:00:00Z,9999-01-01T00:00:00Z
