Station,Vs30,Tsite,Zb,Q_Vs30,Q_Tsite,D_Tsite,Q_Zb,References,Notes
014A,150,1.25,110,Q2,Q3,I,Q3,McVerry G.H. (2011),
015A,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
016A,480,0.15,10,Q3,Q3,I,Q3,McVerry G.H. (2011),
017A,138,1,40,Q2,Q1,Ms,Q3,,see GISS
018A,138,1,40,Q2,Q2,Ms,Q3,,see GISS
021A,210,2,200,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
024A,350,0.9,120,Q3,Q3,I,Q3,McVerry G.H. (2011),at 226B
025A,210,0.6,12,Q2,Q2,Ms,Q2,Unpublished HVSR (C. Van Houtte),
027A,150,1.7,200,Q3,Q3,I,Q3,McVerry G.H. (2011),
027C,150,1.7,200,Q3,Q3,I,Q3,McVerry G.H. (2011),
027F,268,0.4,20,Q3,Q3,I,Q3,McVerry G.H. (2011),
027G,268,0.4,20,Q3,Q3,I,Q3,McVerry G.H. (2011),
028A,210,1,75,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
029A,182,>2,1000,Q3,Q3,I,Q3,,see HCDS
032A,495,0.13,10,Q3,Q3,I,Q3,McVerry G.H. (2011),
033A,367,0.33,30,Q3,Q3,I,Q3,McVerry G.H. (2011),
033C,403,0.22,20,Q3,Q3,I,Q3,McVerry G.H. (2011),
034A,800,<0.1,3,Q3,Q3,I,Q3,,see WBFS
039D,314,1,100,Q3,Q3,I,Q3,McVerry G.H. (2011),
039E,314,1,100,Q3,Q3,I,Q3,McVerry G.H. (2011),
040A,770,0.08,7,Q3,Q3,I,Q3,McVerry G.H. (2011),
042A,280,0.9,85,Q3,Q2,Mw,Q3,,see HSES
044A,140,0.8,25,Q2,Q3,I,Q3,,see SKFS
046A,210,0.7,50,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser); McVerry G.H. (2011)",some conflicts
048C,235,0.9,64,Q3,Q3,I,Q3,McVerry G.H. (2011),
048D,235,0.9,64,Q3,Q3,I,Q3,McVerry G.H. (2011),
050A,300,1.23,300,Q3,Q3,I,Q3,McVerry G.H. (2011),
051B,300,1.2,105,Q3,Q2,Mw,Q3,,see WBCS
051D,300,1.2,105,Q3,Q2,Mw,Q3,,see WBCS
052A,333,0.3,30,Q3,Q3,I,Q3,McVerry G.H. (2011),
053A,391,0.27,20,Q3,Q3,I,Q3,McVerry G.H. (2011),
054A,210,0.87,100,Q3,Q2,Ms,Q3,"Perrin, N.D. et al. (2015)",HVSR at station HDWS
055A,210,1,70,Q3,Q2,Mw,Q3,,see GMTS
056A,450,0.07,5,Q3,Q3,I,Q3,"McVerry G.H. (2011); Perrin, N.D. et al. (2015)",some conflicts
057A,278,1.1,100,Q3,Q3,I,Q3,,see HMCS
059A,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
060B,270,2.2,200,Q3,Q3,Mw,Q3,,see CECS
070A,298,1.4,200,Q3,Q3,I,Q3,McVerry G.H. (2011),
075A,400,0.6,60,Q3,Q3,I,Q3,"Cousins, W.J. et al. (1996)",
080B,210,0.57,30,Q3,Q3,I,Q3,,
081A,200,2.3,200,Q3,Q3,I,Q3,McVerry G.H. (2011),
083A,1200,<0.1,0,Q3,Q3,I,Q2,,
085D,350,0.33,15,Q3,Q3,I,Q3,,
085M,350,0.33,15,Q3,Q3,I,Q3,,
085N,350,0.33,15,Q3,Q3,I,Q3,,
087A,1000,<0.1,0,Q3,Q3,I,Q2,"Perrin, N.D. et al. (2015)",
087B,1000,<0.1,0,Q3,Q3,I,Q3,,
087C,425,0.33,30,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
087D,1000,<0.1,0,Q3,Q3,I,Q2,"Perrin, N.D. et al. (2015)",
089A,326,2.1,300,Q3,Q3,I,Q3,McVerry G.H. (2011),
090A,270,0.33,40,Q3,Q3,Mw,Q3,,see INGS
092A,270,0.8,80,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); McVerry G.H. (2011)",some conflicts
096A,155,1.5,100,Q2,Q3,I,Q3,"Barker, P.R. (1994); Cousins, W.J. et al. (1996)",
099B,210,1.1,80,Q3,Q3,Mw,Q3,,see TBAS
102A,555,0.15,12,Q3,Q3,I,Q3,"Cousins, W.J. et al. (1996)",
103A,465,0.23,20,Q3,Q3,I,Q3,,see SJFS
110C,270,0.8,80,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
112A,667,0.36,60,Q3,Q3,I,Q3,McVerry G.H. (2011),
112B,667,0.36,60,Q3,Q3,I,Q3,McVerry G.H. (2011),
113A,522,0.15,10,Q3,Q3,I,Q3,McVerry G.H. (2011),
114A,387,1,100,Q3,Q3,I,Q3,McVerry G.H. (2011),
118A,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
118B,520,0.3,40,Q3,Q3,I,Q3,McVerry G.H. (2011),
120A,290,1.1,100,Q3,Q3,I,Q3,McVerry G.H. (2011),
122A,500,1.6,250,Q3,Q3,I,Q3,,see 129A
123A,616,0.13,10,Q3,Q3,I,Q3,McVerry G.H. (2011),
129A,500,1.6,250,Q3,Q3,Mw,Q3,,see MCAS
130B,367,0.85,100,Q3,Q3,I,Q3,McVerry G.H. (2011),
131A,210,1.4,100,Q3,Q2,Mw,Q3,,see PAPS
132A,245,0.47,27,Q2,Q2,I,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010)",
214A,210,1,75,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Cousins, W.J. et al. (1996)",see 028A
225B,155,1.5,100,Q3,Q3,I,Q3,,see 096A
240A,600,1.8,300,Q3,Q3,I,Q3,McVerry G.H. (2011),see HOCS
249A,350,0.35,60,Q2,Q2,Mu,Q3,,see 642A
257A,210,>2,300,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Cousins, W.J. et al. (1996)",
259A,210,0.7,50,Q3,Q2,Mw,Q3,,see 046A
261A,330,0.6,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
262A,400,0.27,20,Q3,Q3,I,Q3,McVerry G.H. (2011),
264A,390,1.3,200,Q3,Q3,I,Q3,McVerry G.H. (2011),alternative bedrock models available
265A,280,2.3,250,Q3,Q3,I,Q3,McVerry G.H. (2011),
266A,300,1.2,105,Q3,Q2,Mw,Q3,,see WBCS
267A,333,0.3,30,Q3,Q3,I,Q3,,see 052A
268A,210,1,70,Q3,Q2,Mw,Q3,,see GMTS
270A,500,0.15,10,Q3,Q3,I,Q3,McVerry G.H. (2011),
272A,278,1.1,100,Q3,Q3,I,Q3,,see 057A
274A,150,>2,500,Q3,Q3,I,Q3,,
275A,400,6,600,Q3,Q3,Ma,Q3,McVerry G.H. (2011),see CACS
301A,341,0.75,60,Q3,Q3,I,Q3,McVerry G.H. (2011),
302A,250,0.8,80,Q2,Q3,I,Q3,McVerry G.H. (2011),"borehole data, nearby WCDS some conflicts"
340A,283,0.96,90,Q3,Q3,I,Q3,McVerry G.H. (2011),
464A,210,1.2,170,Q3,Q3,I,Q3,"Boon, D.P. et al. (2010); Perrin, N.D. et al. (2015)",
465A,600,0.1,5,Q3,Q3,I,Q3,,see DAVS
465B,600,0.1,5,Q3,Q3,I,Q3,,see DAVS
467A,218,1.5,200,Q3,Q3,I,Q3,"Boon, D.P. et al. (2010); Perrin, N.D. et al. (2015); McVerry G.H. (2011)",
468A,190,0.9,50,Q1,Q3,I,Q3,,see NBSS
469A,240,1.2,280,Q3,Q3,I,Q3,,see LHES
504A,270,0.7,50,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",nearby station 294A
505A,300,0.4,30,Q2,Q2,Ms,Q2,,see APPS
507A,312,0.38,30,Q3,Q3,I,Q3,,see OAMS
601A,161,2.3,297,Q3,Q3,I,Q3,"Boon, D.P. et al. (2010); McVerry G.H. (2011)",
602C,1000,<0.1,0,Q3,Q3,I,Q3,,
603B,1000,<0.1,0,Q3,Q3,I,Q3,,
604A,263,1.2,170,Q3,Q3,I,Q3,"Boon, D.P. et al. (2010)",
605B,760,0.27,0,Q3,Q3,Mw,Q3,,see FAIS
606B,800,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
608A,200,2,250,Q2,Q2,I,Q3,McVerry G.H. (2011),see PGMS
640A,230,0.5,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",near 642A
641A,210,0.6,60,Q3,Q3,I,Q3,"Boon, D.P. et al. (2010); Perrin, N.D. et al. (2015)",
642A,350,0.35,50,Q1,Q2,Mu,Q3,"Cousins, W.J. et al. (1996); Unpublished ReMi (Kaiser & Louie)",
642E,350,0.35,50,Q1,Q2,Mu,Q3,,see 642A
642G,350,0.35,50,Q1,Q2,Mu,Q3,,see 642A
642H,350,0.35,50,Q1,Q2,Mu,Q3,,see 642A
643B,1000,<0.1,1.5,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
644C,189,2,250,Q3,Q3,I,Q3,"Boon, D.P. et al. (2010); McVerry G.H. (2011)",
646A,120,1.6,62,Q1,Q2,Mu,Q2,,see WDAS
646B,120,1.6,62,Q1,Q2,Mu,Q2,,see WDAS
646C,120,1.6,62,Q1,Q2,Mu,Q2,,see WDAS
647A,474,0.12,5.7,Q2,Q2,I,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010)",
647D,474,0.12,5.7,Q2,Q2,I,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010)",
648A,330,0.5,38,Q3,Q3,I,Q3,"McVerry G.H. (2011); Semmens, S. et al. (2010); Unpublished ReMi (Kaiser & Louie)",
651A,330,1,120,Q2,Q3,I,Q3,"Perrin, N.D. et al. (2015); Boon, D.P. et al. (2010)",Nearby Unpublished ReMi (Kaiser & Louie)
705B,570,0.15,10,Q3,Q3,I,Q3,McVerry G.H. (2011),
706A,210,0.5,30,Q3,Q2,Mu,Q3,"Perrin, N.D. et al. (2015); Taber, J.J., & Smith, E.G.C. (1991)",
707A,570,0.15,10,Q3,Q3,I,Q3,,see 705B
708A,275,0.4,25,Q3,Q1,Ms,Q2,,see POLS
709A,245,1.5,125,Q3,Q3,I,Q3,,see GWTS
711A,234,1.4,175,Q3,Q3,I,Q3,"Boon, D.P. et al. (2010)",
712A,210,0.71,100,Q3,Q2,Mw,Q3,,see WKHS
713A,210,0.6,40,Q3,Q3,Mu,Q3,,see 706A
900B,267,0.84,96,Q2,Q2,I,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010)",
900C,250,0.8,60,Q3,Q3,I,Q3,"Semmens, S. et al. (2010); McVerry G.H. (2011)",some conflicts with McVerry 2011
902A,275,1.25,131.5,Q2,Q2,I,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010)",
907A,250,1.2,116,Q2,Q2,I,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010); Unpublished ReMi (Kaiser & Louie)",
911A,358,0.29,18.5,Q2,Q2,I,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010)",
912A,239,0.78,64,Q2,Q2,Mw,Q2,,see WNAS
913A,1000,<0.1,2,Q3,Q3,I,Q2,"Perrin, N.D. et al. (2015); Semmens, S. et al. (2010)",
914A,282,0.61,46.5,Q2,Q2,I,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010)",
914B,282,0.61,46.5,Q2,Q2,I,Q2,,see 914A
914C,270,0.65,50,Q2,Q2,I,Q2,"Semmens, S. et al. (2010)",
916A,291,0.8,85.4,Q2,Q2,I,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010)",
918B,1000,0.3,0,Q3,Q1,Mw,Q2,,see WEL
918C,1000,0.3,0,Q3,Q3,Mw,Q3,,see WEL
919A,307,0.85,95.6,Q2,Q2,I,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010)",
920A,210,0.25,10,Q3,Q1,Mu,Q3,"Perrin, N.D. et al. (2015); Semmens, S. et al. (2010); Taber, J.J., & Richardson, W.P. (1992)",
921A,330,0.5,38,Q3,Q3,I,Q3,,see 648A
925A,210,0.8,52,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
926A,651,0.07,5,Q3,Q3,I,Q3,McVerry G.H. (2011),
928B,425,0.8,300,Q3,Q3,Ms,Q3,,see HNPS
930A,150,>2,300,Q3,Q3,I,Q3,,
931B,320,0.63,50,Q3,Q3,I,Q3,McVerry G.H. (2011),
933B,229,1.4,120,Q3,Q3,I,Q3,McVerry G.H. (2011),
934B,180,1.1,100,Q1,Q3,I,Q3,"Perrin, N.D. et al. (2015); Boon, D.P. et al. (2010); Unpublished ReMi (Kaiser & Louie)",
935A,240,1.2,275,Q3,Q3,I,Q3,"Boon, D.P. et al. (2010)",
935B,240,1.2,275,Q3,Q3,I,Q3,,see 935A
935C,240,1.2,275,Q3,Q3,I,Q3,,see 935A
940A,354,0.8,80,Q3,Q3,Mw,Q3,McVerry G.H. (2011),see QTPS
941A,272,0.85,98.5,Q2,Q2,I,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010)",
ADCS,270,>2,990,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
AICS,210,1,80,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
AKSS,435,0.3,10,Q1,Q1,Mw,Q2,"Kaiser, A.E. et al. (2013); Unpublished MASW (C. Van Houtte)",
