Manufacturer,Make,Model,Serial Number,Notes
"Allen Osborne Associates, Inc.",AllenOsborneAssociatesInc,Chokering (TurboRogue),132,
"Allen Osborne Associates, Inc.",AllenOsborneAssociatesInc,Chokering (TurboRogue),133,
Leica Geosystems,LeicaGeosystems,Chokering AT504,324,
Leica Geosystems,LeicaGeosystems,Chokering AT504,332,
Leica Geosystems,LeicaGeosystems,Chokering AT504,333,
Leica Geosystems,LeicaGeosystems,Chokering AT504,405,
Thales,Thales,Ashtech chokering 700936B,11753,
Thales,Thales,Ashtech chokering 700936C,12413,
Thales,Thales,Ashtech chokering 700936C,12477,
Thales,Thales,Ashtech chokering 700936C,12611,
Thales,Thales,Ashtech chokering 700936C,12627,
Thales,Thales,Ashtech chokering 700936D,CR13573,
Thales,Thales,Ashtech chokering 700936E,CR16098,
Thales,Thales,Ashtech chokering 701933B,CRN120000601,
Thales,Thales,Ashtech chokering 701945C,CR519993903,
Thales,Thales,Ashtech chokering 701945C,CR519993904,
Thales,Thales,Ashtech chokering 701945C,CR519993905,
Thales,Thales,Ashtech chokering 701945E,CR620022305,
Trimble Navigation Ltd.,Trimble,Chokering Model 29659.00,0220063995,
Trimble Navigation Ltd.,Trimble,Chokering Model 29659.00,0220066912,
Trimble Navigation Ltd.,Trimble,Chokering Model 29659.00,0220067545,
Trimble Navigation Ltd.,Trimble,Chokering Model 29659.00,0220067548,
Trimble Navigation Ltd.,Trimble,Chokering Model 29659.00,0220073544,
Trimble Navigation Ltd.,Trimble,Chokering Model 29659.00,0220148020,
Trimble Navigation Ltd.,Trimble,Chokering Model 29659.00,0220190193,
Trimble Navigation Ltd.,Trimble,Chokering Model 29659.00,0220190270,
Trimble Navigation Ltd.,Trimble,Chokering Model 29659.00,0220227659,
Trimble Navigation Ltd.,Trimble,TRM22020.00+GP,1061,
Trimble Navigation Ltd.,Trimble,TRM33429.20+GP,131754,
Trimble Navigation Ltd.,Trimble,Zephyr 2a (55971-00),1112118070,
Trimble Navigation Ltd.,Trimble,Zephyr 2a (55971-00),1112118071,
