Manufacturer,Make,Model,Serial Number,Asset Number,Notes
Canterbury Seismic Instruments Ltd.,CSI,CUSPM16,CSI #1 16 Port,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM16,CSI #2 16 Port,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM16,CSI #3 16 Port,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM16,PROTOTYPE-1,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM16,PROTOTYPE-2,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,10000,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,10002,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,10003,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,10004,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,10005,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,10006,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,10007,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,10008,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,10009,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11000,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11001,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11002,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11003,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11004,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11005,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11006,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11007,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11008,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11009,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11011,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11012,,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11014,,
