Manufacturer,Make,Model,Serial Number,Asset Number,Notes
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040001,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040002,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040003,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040004,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040005,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040006,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040007,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040008,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040009,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040010,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040011,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040013,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040015,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040016,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040018,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040022,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040023,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040024,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040025,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040026,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3A,3A-040027,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050005,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050006,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050007,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050008,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050009,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050010,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050011,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050012,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050013,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050014,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050015,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050016,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050017,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050019,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050020,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050021,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050024,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050026,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050027,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050030,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050031,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050033,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050035,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050038,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050040,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050041,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050044,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050047,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050048,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050049,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050050,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050052,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050056,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050057,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050058,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050501,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3B,3B-050501x,,Drowned and coroded
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C3,3B-050005,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C3,3C3-30428,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3A-040001,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3A-040002,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3A-040004,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3A-040007,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3A-040007x,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3A-040009,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3A-040022,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3A-040023,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3A-040027,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050005x,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050007,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050008,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050010,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050010x,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050011,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050012,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050013,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050014,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050016,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050017,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050019,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050024,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050027,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050030,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050031,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050038,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050040,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050041,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3C,3B-050052,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3A-040005,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3A-040006,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3A-040008,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3A-040011,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3A-040015,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3A-040020,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3A-040024,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3B-050006,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3B-050020,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3B-050031,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3B-050033,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3B-050047,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3B-050048,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3B-050056,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,3B-050058,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42006,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42007,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42009,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42010,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42011,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42012,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42013,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42014,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42015,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42017,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42018,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42019,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42020,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42021,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42022,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42023,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42024,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42025,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42026,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42027,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42028,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42029,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42031,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42032,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42033,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42034,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42035,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP3D,42036,,
