Code,Description,Latitude,Longitude,Elevation,Datum,RelativeHeight
NA000,Ngauruhoe Volcano,-39.156798,175.631871,2197,WGS84,
NA001,"Ngauruhoe crater inner rim, north-west fumarole field",-39.1562653309,175.631464065,2280,WGS84,
NA002,"Ngauruhoe outer rim, east fumaroles",-39.1564151759,175.634722866,2280,WGS84,
OT001,Waimangu Inferno Crater,-38.2819,176.3997,380,WGS84,
OT002,Waimangu Frying Pan Lake,-38.28358,176.39503,380,WGS84,
OT010,"Okataina, Rotoiti Manupirua Springs",-38.038819,176.382087,278,WGS84,
OT011,"Okataina, Rotoiti Parengarenga Bay Springs",-38.045405,176.35628,278,WGS84,
OT012,"Okataina, Rotoiti Parengarenga Point Springs",-38.043892,176.35742,279,WGS84,
OT013,"Okataina, Rotoma Soda Spring",-38.03853,176.549492,300,WGS84,
OT014,"Okataina, Rotomahana Hole in Wall Spring No 21",-38.269847,176.417669,332,WGS84,
OT015,"Okataina, Rotomahana Spring No 8",-38.264235,176.418689,332,WGS84,
OT016,"Okataina, Tarawera Hot Water Beach Spring",-38.243532,176.43328,310,WGS84,
OT017,"Okataina, Tarawera Hot Water Beach Spring (secondary)",-38.24162,176.430923,310,WGS84,
OT018,"Okataina, Waikite Te Manaroa Spring",-38.326951,176.304881,370,WGS84,
OT019,"Okataina, Waikite Baths Lower Spring",-38.327288,176.304462,374,WGS84,
OT020,"Okataina, Waikite Baths Upper Spring",-38.327358,176.304534,376,WGS84,
OT021,"Okataina, Waiotapu Champagne Pool",-38.359303,176.368744,340,WGS84,
OT022,"Kawerau, Council Bore",-38.088952,176.699564,31,WGS84,
RL001,Raoul Island Green Lake,-29.2624,-177.91978,10,WGS84,
RL001-1,Raoul Island Green Lake,-29.2624,-177.91978,10,WGS84,
RL002,Raoul Island Blue Lake,-29.25407,-177.92016,8,WGS84,
RL003,Raoul Island Oneraki Beach,-29.24923,-177.91678,0,WGS84,
