Location,Name,Sensor,Type,Unit,Description
NA000,carbon dioxide flux,CO2-flux-a,contour,kg/s,"flux of carbon dioxide measured in the air aircraft flies through a plume at different altitudes, a pump inside the aircraft sucks in gases and instruments measure the concentration"
NA000,hydrogen sulphide flux,H2S-flux-a,contour,kg/s,"flux of hydrogen sulphide measured in the air aircraft flies through a plume at different altitudes, a pump inside the aircraft sucks in gases and instruments measure the concentration"
NA000,sulphur dioxide flux,SO2-flux-a,contour,kg/s,"flux of sulphur dioxide measured in the air aircraft flies through a plume at different altitudes, a pump inside the aircraft sucks in gases and instruments measure the concentration"
NA000,sulphur dioxide flux,cospec,SO2-flux-a,kg/s,"flux of sulphur dioxide measured in the air correlation spectrometer measures absorption of ultraviolet light by SO2, flying beneath a plume"
NA000,sulphur dioxide flux,flyspec,SO2-flux-a,kg/s,"flux of sulphur dioxide measured in the air miniaturized UV spectrometer system measures absorption of ultraviolet light by SO2, flying beneath a plume"
NA001,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
NA002,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT001,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT001,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
OT001,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT001,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT001,boron,B-w,water sample,mg/L,B concentration in a water sample
OT001,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT001,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT001,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT001,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT001,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT001,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT001,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT001,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT001,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT001,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT001,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT001,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT001,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT001,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT001,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT001,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT001,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT001,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT002,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT002,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
OT002,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT002,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT002,boron,B-w,water sample,mg/L,B concentration in a water sample
OT002,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT002,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT002,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT002,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT002,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT002,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT002,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT002,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT002,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT002,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT002,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT002,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT002,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT002,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT002,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT002,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT002,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT002,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT010,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT010,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
OT010,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT010,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT010,boron,B-w,water sample,mg/L,B concentration in a water sample
OT010,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT010,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT010,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT010,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT010,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT010,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT010,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT010,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT010,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT010,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT010,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT010,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT010,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT010,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT010,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT010,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT010,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT010,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT011,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT011,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
