Station,Layer,", Material  (Description)",", Overburden (Strength)",", Thickness ((m))",", Thickness (Notes)",", Notes ()",", References ()",", Bulk Dens ((t/m3))",", Bulk Dens (Notes)",", SPT(N) ()",", SPT(N) (Notes)",", Vs ((m/s))",", Vs (Notes)"
001A,1,silt with gravel,soft,5,,soft/ loose alluvial silt with gravel,,,,,,,
001A,2,silt/clay,soft,7,,very soft-soft estuarine mud with some shingle and basalt blocks,,,,,,,
002A,1,fill /slopewash over sandstone,dense,2,2m of fill 38 m sandstone,,,,,,,,
003A,1,,,0,,,,,,,,,
007A,1,sand & gravel,loose,20,?,loose to medium dense,,,,,,,
007A,2,sand & gravel,very dense,100,?,older sand & gravel,,,,,,,
007B,1,sand & gravel,loose,20,?,loose to medium dense,,,,,,,
007B,2,sand & gravel,very dense,100,?,older sand & gravel,,,,,,,
012A,1,tuff / lapilli,soft,7.5,,soft / loose,,,,,,,
012B,1,tuff / lapilli,soft,7.5,,soft / loose,,,,,,,
013A,1,"ash, gravel, lava blocks",medium dense,7,5 - 10?,,,,,,,,
014A,1,"sand, silt",very soft,200,?,"very soft/ very loose marine sand, silt & swamp deposits",,,,,,,95-194
015A,1,fill,medium dense,2,,,,,,,,,
016A,1,"gravel, sand & silt",medium dense,10,,medium dense/ stiff pumiceous marine,,,,,,,
017A,1,sand,loose,5,,,,,,,,,
017A,2,silt & clay,soft,20,,marine,,,,,,,
017A,3,silt & clay,firm,15,,firm to stiff fluvial,,,,,,,
017B,1,sand,loose,5,,,,,,,,,
017B,2,silt & clay,soft,20,,marine,,,,,,,
017B,3,silt & clay,firm,15,,firm to stiff fluvial,,,,,,,
018A,1,fill & sand,loose,4,,,,,,,,,
018A,2,silt & clay,soft,21,,estuarine & marine,,,,,,,
018A,3,silt & clay,firm,15,,firm to stiff fluvial,,,,,,,
019B,1,gravel & sand,loose,5.5,,Taupo Alluvium (pumice gravel & sand),,,,,,,
019B,2,silt,firm,4.5,,firm to stiff lake silts (Taupo alluvium),,,,,,,
019B,3,sand/silt,stiff,250,,Huka formation-effective bedrock in part,,,,,,,
019C,1,gravel & sand,loose,5.5,,Taupo Alluvium (pumice gravel & sand),,,,,,,
019C,2,silt,firm,4.5,,firm to stiff lake silts (Taupo alluvium),,,,,,,
019C,3,sand/silt,stiff,250,,Huka formation-effective bedrock in part,,,,,,,
019D,1,gravel & sand,loose,5.5,,Taupo Alluvium (pumice gravel & sand),,,,,,,
019D,2,silt,firm,4.5,,firm to stiff lake silts (Taupo alluvium),,,,,,,
019D,3,sand/silt,stiff,250,,Huka formation-effective bedrock in part,,,,,,,
020A,1,"silt, gravel",medium dense,7,5 to 10,,,,,,,,
020B,1,"silt, gravel",medium dense,7,5 to 10,,,,,,,,
021A,1,sandy silt,loose,5,?,pumiceous,,,,,,107,1-5m
021A,2,sandy gravel & silt ,medium dense,200,?,(Hinuera Formation),,,,,,129,5 to 6.3m
022A,1,,,0,,,,,,,,,
023A,1,,,0,,,,,,,,,
024A,1,sand,loose,5,?,,,,,,1 to 6,,
024A,2,"sands,silt,clay",soft,5,,"soft/ loose recent alluvial sands, silt, clay",,,,,4 to 9,,
024A,3,gravel - sands,medium dense,7,5-10 ?,medium dense to loose fluvial volcaniclastic sediments,,,,30,>,,
024A,4,sandy gravel,dense,100,?,"medium dense-very dense sandy gravel, Lahar deposits",,,,,,,
025A,1,clayey silts over gravels; some peat layers,firm,12,," soft/ medium dense Rapanui Fm",,,,,,78,1 - 9.5m
