Station,", Site Name ( 10)",", Site Stability ( )",", Water Table (Depth (m) )",", ""Notes"" (Description of Building or Instrument Housing)",", Topography ( )",", Nearby Faults ( )"
001A,Whangarei Old Telephone Exchange,Low Liquefaction Susceptibility,,On concrete floor in basement of heavy 2-storey concrete building,"Flat land close to sea level, close to foot of  c. 20 m high plateau",Wairoa N (c. 152 km) 
002A,Denniston Fire Station,Stable,,Floor of light timber-framed single-storied building,Natural bench at foot of gentle slope at top of steep slope (Denniston Incline).,"Paparoa RF (c. 3 km), Inangahua (c. 17 km) "
003A,Cape Foulwind,Stable,,A photograph probably of the site shows what looks like a powder magazine that is at least partly supported by piles. Part cound be directly on the ground.,Flat ground (quarry floor).,Paparoa RF (c. 16 km) 
007A,Thames Post Office,Low Landslide Susceptibility,,Concrete floor of basement beneath a 2 storey reinforced concrete building (occupied until October 1984).,"Flat site, 100m from sea, on 800m wide coastal plain at foot of steep hill",Kerepehi N (c. 15 km) 
007B,Thames Telephone Exchange,Low Landslide Susceptibility,,Concrete floor of 2 storey reinforced concrete building (occupied post-October 1984).,"Flat site, 100m from sea, on 800m wide coastal plain at foot of steep hill",Kerepehi N (c. 15 km) 
012A,Auckland University School of Engineering (Test Hall),Low Landslide Susceptibility,,,,Wairoa N (c. 25 km) 
012B,Auckland University School of Engineering (Survey Store),low Landslide Susceptibility,,"Ground floor of 11-storey reinforced concrete building (RC frame building, but with RC shear walls around survey store room)",Side of broad low ridge,Wairoa N (c. 25 km) 
013A,Chateau Tongariro,Low Landslide Susceptibility,,Concrete floor of light timber garage,Near end of broad spur (lava flow) in andesite,"Waihi S (c. 3 km), National Park (c. 8 km), Poutu (c. 11 km), Raurimu (c. 13 km), Waihi E (c. 13 km)"
014A,Napier Civil Defence,Stable,,"Concrete floor of 1-storey building, concrete block wall to 1.5m, then steel & timber framing, galvanised-iron cladding and roof. (Approximate dimensions 25m x 35m)",Flat site on reclaimed harbour bed,Napier 1931 (c. 6 km) 
015A,Napier Hospital,Stable,,Concrete floor in basement of 2 storey reinforced concrete building,"On top of 1km wide, 2.5km long, limestone hill (Hospital Hill)",Napier 1931 (c. 5 km) 
016A,Gisborne Kaiti Hill,Low Landslide Susceptibility,,Concrete floor of single-storey concrete (shear-wall) building with corrugated asbestos(?) roof. (Approximate dimensions 20m x 10m),Hill top,"Raukumara F3 (c. 3 km), Hikurangi Subduction Zone, Raukumara F6 (c. 17 km), OtokoToto F7 (c. 18 km), Repongaere F4 (c. 19 km)"
017A,Gisborne 2ZG,Stable,,"Concrete floor of single-storey garage with concrete block walls, steel roof joists, galvanised iron roof. (Approximate dimensions 10m x 6m)","Flat site on progradational beach sands, about 0.5 km from sea, and about 1km from one side of large (c.12km x 12km) plain.","Raukumara F3 (c. 4 km), Hikurangi Subduction Zone, Raukumara F6 (c. 15 km), OtokoToto F7 (c. 16 km), Repongaere F4 (c. 17 km)"
017B,Gisborne 2ZG,Stable,,"Concrete floor of single-storey garage with concrete block walls, steel roof joists, galvanised iron roof. (Approximate dimensions 10m x 6m)","Flat site on progradational beach sands, about 0.5 km from sea, and about 1km from one side of large (c.12km x 12km) plain.","Raukumara F3 (c. 4 km), Hikurangi Subduction Zone, Raukumara F6 (c. 15 km), OtokoToto F7 (c. 16 km), Repongaere F4 (c. 17 km)"
018A,Gisborne Chief Post Office,Stable,4,"Array consisting of one accelerograph at a free-field site and three others located on the axis of a 6-storey high (G,1,2,3,4,5), reinforced concrete (MRF) building. Site A - Concrete pad in car park, 20m from building","Flat site on progradational beach sands, about 0.5 km from sea, and about 1km from one side of large (c.12km x 12km) plain.","Raukumara F3 (c. 3 km), Hikurangi Subduction Zone, Raukumara F6 (c. 15 km), OtokoToto F7 (c. 16 km), Repongaere F4 (c. 17 km)"
019B,Taupo Police Station,Stable,,"Concrete floor of 2-storey building, concrete block ground floor (garage) beneath timber framed and clad upper storey (accommodation). One side of Police station complex.(Approximate dimensions 7m x 10m)","Near lake outlet, old terrace level","Aratiatia (c. 5 km), Kaiapo (c. 5 km), Whakaipo (c. 7 km), Ngangiho (c. 10 km), Orakonui (c. 12 km)"
019C,Taupo Police Station,Stable,,"Concrete floor of 2-storey building, concrete block ground floor (garage) beneath timber framed and clad upper storey (accommodation). One side of Police station complex.(Approximate dimensions 7m x 10m)","Near lake outlet, old terrace level","Aratiatia (c. 5 km), Kaiapo (c. 5 km), Whakaipo (c. 7 km), Ngangiho (c. 10 km), Orakonui (c. 12 km)"
