Make,Model,Serial,Mark,Height,North,East,Azimuth,Start Date,End Date
"Allen Osborne Associates, Inc.",AOAD/M_T,132,AUCK,0.0018,0,0,0,1995-09-18T00:00:00Z,2001-10-28T00:00:00Z
"Allen Osborne Associates, Inc.",AOAD/M_T,133,AUCK,0.0025,0,0,0,1995-05-31T00:00:00Z,1995-06-02T00:00:00Z
"Allen Osborne Associates, Inc.",AOAD/M_T,133,CHAT,0.0031,0,0,0,1995-10-04T00:00:00Z,2001-11-28T00:00:00Z
Leica Geosystems,LEIAT504,324,DUNT,0,0,0,0,1999-09-23T00:00:03Z,2024-07-31T03:26:45Z
Leica Geosystems,LEIAT504,332,WGTT,0,0,0,0,1999-12-14T00:00:00Z,2000-06-29T02:59:59Z
Leica Geosystems,LEIAT504,332,TAKL,0,0,0,0,2001-07-11T00:00:00Z,2007-07-05T03:44:00Z
Leica Geosystems,LEIAT504,333,WGTT,0,0,0,0,2000-06-29T03:00:00Z,2000-08-17T23:59:59Z
Leica Geosystems,LEIAT504,333,WGTT,0.0002,0,0,0,2000-08-18T00:00:05Z,2024-07-16T03:09:55Z
Leica Geosystems,LEIAT504,405,LYTT,0.001,0,0,0,1999-11-15T00:00:03Z,9999-01-01T00:00:00Z
Septentrio,SEPCHOKE_B3E6,5885,TGHM,0.002,0,0,0,2024-04-07T23:48:00Z,9999-01-01T00:00:00Z
Thales,ASH700936B_M,11753,WGTN,0.0017,0,0,0,1996-05-23T00:00:00Z,1999-11-10T05:43:00Z
Thales,ASH700936B_M,11753,WGTN,0.0017,0,0,0,1999-11-10T05:44:00Z,2005-03-21T01:59:59Z
Thales,ASH700936C_M,12413,GRAC,0,0,0,0,1998-07-10T00:00:00Z,1999-12-28T00:00:00Z
Thales,ASH700936C_M,12413,GRAC,0,0,0,0,2001-01-25T00:00:00Z,2001-01-29T00:00:00Z
Thales,ASH700936C_M,12477,NIUC,0,0,0,0,1996-11-13T00:00:00Z,2003-11-01T00:00:01Z
Thales,ASH700936C_M,12611,VAVS,0.0098,0,0,0,2000-09-21T00:00:00Z,2008-10-05T11:08:00Z
Thales,ASH700936C_M,12627,FALE,0,0,0,0,1996-11-13T00:00:00Z,2003-09-17T23:59:59Z
Thales,ASH700936D_M,CR13573,HOKI,0.0032,0,0,0,2000-01-20T00:00:01Z,2003-09-05T22:56:00Z
Thales,ASH700936E,CR16098,HOKI,0.0031,0,0,0,1998-07-06T00:00:00Z,2000-01-20T00:00:00Z
Thales,ASH701933C_M,CRN120000601,PAEK,0.0002,0,0,0,2000-04-11T00:00:00Z,2006-09-10T23:35:00Z
Thales,ASH701945B_M,CR519993903,GRAC,0,0,0,0,2000-01-26T00:00:00Z,2001-01-05T00:00:00Z
Thales,ASH701945B_M,CR519993903,CHAT,0.0062,0,0,0,2001-11-28T02:14:00Z,2012-05-23T20:00:00Z
Thales,ASH701945B_M,CR519993904,VAVS,0.006,0,0,0,2000-09-20T00:00:00Z,2000-09-20T23:59:59Z
Thales,ASH701945B_M,CR519993904,AUCK,0.0016,0,0,0,2001-10-28T02:17:00Z,2005-11-03T03:59:00Z
Thales,ASH701945B_M,CR519993905,MQZG,0.0002,0,0,0,2001-09-03T00:00:01Z,2005-02-28T03:00:00Z
Thales,ASH701945E_M,CR620022305,FALE,0,0,0,0,2003-09-18T00:00:00Z,2010-10-21T22:13:00Z
Trimble Navigation Ltd.,TRM115000.00,1431179267,WAKA,0.002,0,0,0,2021-03-31T00:47:08Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1431180093,RAKW,0.002,0,0,0,2021-10-20T23:20:01Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1431180098,HANM,0.002,0,0,0,2020-05-22T00:11:00Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1431180105,MWOR,0.002,0,0,0,2024-12-04T02:45:38Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1431180107,SCTY,0.002,0,0,0,2020-06-23T01:06:32Z,2020-10-27T23:29:07Z
Trimble Navigation Ltd.,TRM115000.00,1431180119,RLTN,0.002,0,0,0,2020-06-22T22:11:38Z,2020-11-03T00:27:07Z
Trimble Navigation Ltd.,TRM115000.00,1431180121,RLTN,0.002,0,0,0,2022-02-01T00:46:02Z,2022-07-10T23:59:07Z
Trimble Navigation Ltd.,TRM115000.00,1431180124,WGTT,0.055,0,0,0,2024-07-16T03:09:56Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1440905656,FOX1,0.000,0,0,0,2019-02-05T23:45:50Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1440905661,VEXA,0.055,0,0,0,2019-01-30T20:24:30Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025870,2406,0.055,0,0,0,2022-11-14T00:27:30Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025876,MAHO,0.055,0,0,0,2019-10-16T03:13:44Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025880,WEST,0.055,0,0,0,2019-12-10T02:10:47Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025883,TGTK,0.002,0,0,0,2019-10-22T00:17:30Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025884,PYGR,0.002,0,0,0,2019-10-03T01:22:08Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025886,HORN,0.055,0,0,0,2019-09-18T01:42:59Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025887,HIKB,0.055,0,0,0,2019-11-20T01:43:44Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025888,ARTA,0.055,0,0,0,2019-11-14T23:43:00Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025890,WHNG,0.055,0,0,0,2019-09-23T05:15:16Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025891,WAIM,0.055,0,0,0,2021-05-06T00:43:14Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025892,BLUF,0.055,0,0,0,2019-12-16T02:14:08Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025899,TGRA,0.002,0,0,0,2019-11-13T00:49:59Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025900,HAAS,0.055,0,0,0,2019-12-12T00:25:46Z,9999-01-01T00:00:00Z
