Make,Model,Serial,Mount,Dip,Azimuth,Height,North,East,Start Date,End Date,Notes
Axis Communications AB,AXIS-221,00408C6DC9E1,WHWI,0,20,-3,0,0,2006-02-24T14:00:00Z,2018-04-19T00:00:00Z,Looking at White Island
Mobotix AG,M12 3MP,0003c5041fc7,CVTP,0,280,-10,0,0,2009-03-03T02:00:00Z,2009-09-18T01:00:00Z,Bearing is magnetic.
Mobotix AG,M12 3MP,10.3.234.85,T,0,180,0,0,0,2009-11-24T22:30:00Z,9999-01-01T00:00:00Z,"TEMO (New Plymouth) looking at North Taranaki"
Mobotix AG,M12 3MP,10.4.156.174,R,0,155,0,0,0,2009-08-21T00:00:02Z,9999-01-01T00:00:00Z,"Mountain Air (Whakapapa) looking at North Ruapehu"
Mobotix AG,M12 3MP,10.4.162.186,CVTP,0,238,-10,0,0,2009-09-18T01:15:00Z,2016-07-11T00:00:00Z,Camera mounted on top of middle pole
Mobotix AG,M12 3MP,10.4.189.198,CVWF,0,0,0,0,0,2009-10-28T00:30:00Z,2016-06-01T22:40:00Z,
Mobotix AG,M12 3MP,10.4.71.129,RIMM,0,270,0,0,0,2009-05-18T00:00:02Z,2010-04-01T00:00:00Z,
Mobotix AG,M12 3MP,10.5.128.224,P,0,0,-5,0,0,2011-09-05T00:01:00Z,2011-09-20T00:00:00Z,
Mobotix AG,M12 3MP,10.5.158.204,N,0,0,0,0,0,2011-09-07T12:00:00Z,2017-08-24T22:45:00Z,
Mobotix AG,M12 3MP,10.5.160.96,MTSR,0,0,2,0,0,2011-09-08T00:10:00Z,2016-01-08T00:00:00Z,
Mobotix AG,M12 3MP,10.5.186.107,P,0,0,-5,0,0,2011-12-09T00:02:00Z,2012-03-05T00:00:00Z,"Replaces previous camera (SN 10.5.128.224, Asset 14136) replaced by manufacturer under warranty."
Mobotix AG,M12 3MP,10.5.202.81,P,0,0,-5,0,0,2012-03-05T01:05:00Z,9999-01-01T00:00:00Z, "Kakaramea looking at Tongariro Massif"
Mobotix AG,M12 3MP,10.5.217.68,TOTM,0,100,0,0,0,2012-08-29T02:00:00Z,2017-10-12T00:20:00Z,Looking at Te Maari Craters
Mobotix AG,M12 3MP,10.5.32.131,RIMM,0,270,0,0,0,2010-10-29T01:00:00Z,2014-10-27T03:40:00Z,
Mobotix AG,M12 3MP,10.5.32.131,RIMM,0,270,0,0,0,2014-10-27T20:46:00Z,2017-09-24T00:00:00Z,
Mobotix AG,M12 3MP,10.6.15.32,WINR,0,0,1.5,0,0,2013-04-23T01:00:00Z,9999-01-01T00:00:00Z,"White Island North Rim looking into the crater"
Mobotix AG,M15,10.13.10.47,WHWI,0,19,-4,0,0,2013-08-07T00:00:00Z,9999-01-01T00:00:00Z,"Whakatane looking at White Island"
Mobotix AG,M15,10.13.68.240,WIWR,0,0,1.5,0,0,2013-12-10T00:00:00Z,2016-09-14T00:00:00Z,
Mobotix AG,M15,10.13.68.240,N,0,0,0,0,0,2017-09-12T00:00:00Z,9999-01-01T00:00:00Z,"Mountain Air (Whakapapa) looking at Ngauruhoe"
Mobotix AG,M15,10.14.178.98,RIMM,0,270,-1.5,0,0,2017-09-24T00:00:00Z,9999-01-01T00:00:00Z,"Mt Moumoukai (Raoul Island) looking at Green Lake"
Mobotix AG,M15,10.16.105.12,TOPI,0,0,2,0,0,2015-05-28T00:01:00Z,2019-03-04T20:30:00Z,
Mobotix AG,M15,10.17.107.14,MTSR,0,0,2,0,0,2016-02-02T02:00:00Z,9999-01-01T00:00:00Z,"Mangateitei looking at South Ruapehu"
Mobotix AG,M15,10.18.101.137,CVTP,0,238,-10,0,0,2016-07-11T00:03:00Z,9999-01-01T00:00:00Z,"Tai Ping looking at East Ruapehu & South East Ngauruhoe"
Mobotix AG,M15,10.18.101.33,WIWR,0,0,1.5,0,0,2016-10-03T06:14:00Z,9999-01-01T00:00:00Z,"White Island West Rim looking into the crater"
Mobotix AG,M15,10.18.168.61,CVWF,0,0,0,0,0,2016-06-01T23:40:00Z,9999-01-01T00:00:00Z,"White Island Factory looking across the crater floor"
Mobotix AG,M15,10.20.245.115,TOTM,0,0,0,0,0,2018-05-03T00:00:00Z,9999-01-01T00:00:00Z,"Karewerewa looking at TeMaari"
Mobotix AG,M15,10.7.46.153,TOTM,0,0,0,0,0,2017-10-12T00:40:00Z,2018-05-02T23:55:00Z,
Mobotix AG,M24M-Secure,10.9.190.163,TCNW,0,315,0,0,0,2011-11-28T00:00:00Z,2019-02-24T21:00:00Z,
Mobotix AG,M24M-Secure,10.9.190.76,TCNE,0,45,0,0,0,2011-11-28T00:00:03Z,2019-02-24T21:00:00Z,
Mobotix AG,M24M-Secure,10.9.246.200,TCEA,0,90,0,0,0,2011-11-28T00:00:03Z,2019-02-24T21:00:00Z,
Olympus,CAMEDIA-C820L,24043997,CVWF,0,0,0,0,0,2009-02-10T00:00:03Z,2009-10-27T22:00:00Z,
Olympus,CAMEDIA-C860L,46170127,CVWF,0,306,0,0,0,2001-10-12T12:00:00Z,2009-02-10T00:00:01Z,
Olympus,CAMEDIA-C920Z,62301556,WINR,0,0,1.5,0,0,2006-03-17T15:30:00Z,2013-04-24T00:00:00Z,
Olympus,CAMEDIA-C920Z,62302533,T,0,180,0,0,0,2002-09-18T13:00:10Z,2009-11-24T22:00:00Z,
Olympus,CAMEDIA-C960Z,109100682,R,0,155,0,0,0,2000-11-14T13:00:10Z,2009-08-21T00:00:00Z,
Olympus,CAMEDIA-C960Z,109301691,A,0,347,0,0,0,2001-05-21T13:00:10Z,2007-04-13T00:00:00Z,
Olympus,CAMEDIA-C990,129302126,N,0,90,0,0,0,2002-04-09T13:00:10Z,2008-04-11T00:00:00Z,
Stardot Technologies,Netcam XL-3MP,0030F4CA01AA,N,0,90,0,0,0,2008-04-11T00:01:00Z,2011-09-07T00:00:00Z,
