Name,Sampling Rate,Dip,Azimuth,Code,Axial,Flags
Accelerometer,200,-90,0,HNZ,,G
Accelerometer,200,0,0,HNN,HN1,G
Accelerometer,200,0,90,HNE,HN2,G
Accelerometer,50,-90,0,BNZ,,G
Accelerometer,50,0,0,BNN,BN1,G
Accelerometer,50,0,90,BNE,BN2,G
Broadband Seismomemter,100,-90,0,HHZ,,G
Broadband Seismomemter,100,0,0,HHN,HH1,G
Broadband Seismomemter,100,0,90,HHE,HH2,G
Broadband Seismomemter,1,-90,0,LHZ,,G
Broadband Seismomemter,1,0,0,LHN,LH1,G
Broadband Seismomemter,1,0,90,LHE,LH2,G
Broadband Seismomemter,-1,-90,0,VHZ,,G
Broadband Seismomemter,-1,0,0,VHN,VH1,G
Broadband Seismomemter,-1,0,90,VHE,VH2,G
Short Period Seismomemter,100,-90,0,EHZ,,G
Short Period Seismomemter,100,0,0,EHN,EH1,G
Short Period Seismomemter,100,0,90,EHE,EH2,G
Short Period Seismomemter,50,-90,0,SHZ,,G
Short Period Seismomemter,50,0,0,SHN,SH1,G
Short Period Seismomemter,50,0,90,SHE,SH2,G
