Make,Sensor,Datalogger,Serial,Station,Station Cusp3D Start Date,Firmware,Version,Firmware Start Date,Firmware End Date,Notes 
CSI,CUSP3D,CUSP3D,42007,TRTS,2013-10-08T00:30:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42009,MPSS,2012-04-18T05:30:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42010,TAFS,2014-03-25T05:15:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42011,SHFC,2017-09-13T01:37:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42012,STAS,2014-04-09T23:13:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42013,WTYS,2016-12-07T00:00:05Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42014,EKTS,2014-01-21T23:30:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42015,WKHS,2014-04-10T04:53:02Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42017,TDHS,2014-07-21T00:00:05Z,Cusp3D+r,400.74.1,2019-09-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42018,SHLC,2017-08-09T22:04:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42019,KLDS,2014-01-30T23:46:40Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42020,MKVS,2013-10-11T02:55:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42021,STKS,2016-09-07T03:49:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42022,WNKS,2014-05-08T23:42:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42023,KFHS,2014-08-25T00:00:10Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42024,PVCS,2013-10-08T23:45:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42025,HSSS,2014-05-08T23:39:20Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42026,WIGC,2018-05-16T03:30:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42027,PRPC,2017-08-23T23:45:05Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42028,FXBS,2014-05-16T03:17:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42029,GDLC,2017-09-13T05:23:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42031,PNMS,2016-05-18T23:55:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42032,TMHS,2017-07-20T00:00:02Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42033,WNAS,2015-04-29T00:10:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42034,LINC,2017-08-22T23:30:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42035,HALS,2018-02-20T02:30:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42036,GWTS,2014-07-23T00:00:05Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42037,SCAC,2017-09-11T04:36:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42038,OPSS,2013-10-22T01:01:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42039,SLRC,2017-08-09T04:34:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42040,WNPS,2016-05-26T00:16:22Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42041,NLMS,2015-11-10T00:00:05Z,Cusp3D+r,400.74.1,2019-09-04T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42042,LSRC,2016-11-14T12:05:00Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42043,MSMC,2015-03-05T20:23:21Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42044,SACS,2013-03-13T01:10:00Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42046,BOWS,2014-03-17T22:08:00Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42047,PEEC,2016-05-13T02:01:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42048,KPOC,2016-10-13T01:43:42Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42049,SWNC,2016-05-10T03:05:00Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42050,ROLC,2016-10-09T23:41:37Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42051,CCCC,2016-10-09T21:15:28Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42052,KOWC,2016-10-12T22:14:29Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42053,LRSC,2016-09-06T05:45:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42054,CSTC,2016-10-13T21:50:58Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42056,SMTC,2016-05-12T23:20:00Z,Cusp3D+r,400.74.1,2019-08-17T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42059,HVSC,2016-06-15T22:53:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42060,CULC,2016-11-14T10:05:00Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
