Make,Model,Serial,Place,Role,Start Date,End Date
Campbell Scientific,CR1000,4751,Ruapehu Crater Lake,,2009-04-15T02:00:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR10X,Unknown,Waimangu Inferno Crater 2012-19,,2012-06-22T03:45:00Z,2019-05-31T23:45:00Z
Campbell Scientific,CR6,03066,Lower Te Maari Fumarole 15,,2018-08-10T00:00:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,04109,White Island Fumarole 13,,2018-09-13T01:30:00Z,2023-12-01T00:00:00Z
Campbell Scientific,CR6,04110,Upper Te Maari Fumarole 6,,2018-08-28T00:00:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,04111,Fox Glacier Alpine Gardens,,2019-02-06T00:00:00Z,2021-05-05T20:50:01Z
Campbell Scientific,CR6,04114,Fox Glacier Alpine Gardens,,2021-05-05T22:09:59Z,2023-02-08T18:30:01Z
Campbell Scientific,CR6,04115,Tongariro Lower Emerald Spring,,2022-03-30T21:10:00Z,2023-03-13T00:00:00Z
Campbell Scientific,CR6,04116,Waimangu Inferno Crater,,2017-11-07T00:00:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,04117,Upper Tama Lake,,2019-03-12T03:30:00Z,2022-03-30T20:39:59Z
Campbell Scientific,CR6,04117,Taranaki Arawhata Road 1,,2022-09-07T03:50:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,11300,Fox Glacier Rapanui Bluff,,2021-08-03T00:00:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,11303,Fox Glacier Valley View,,2021-08-03T00:00:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,11770,Auckland Rayner Road Piha,,2023-02-23T03:59:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,15365,Rotoma Soda Spring,,2021-03-17T22:20:00Z,2023-03-08T21:50:01Z
Campbell Scientific,CR6,15366,Upper Te Maari Fumarole 3,,2021-05-27T00:00:00Z,2024-02-29T21:50:00Z
Campbell Scientific,CR6,15367,Ngauruhoe Outer Rim Fumarole,,2021-05-06T00:00:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,15368,Tongariro Upper Emerald,,2021-05-21T00:00:00Z,2023-03-08T00:00:00Z
Campbell Scientific,CR6,15369,Tongariro Lower Emerald Spring,,2021-05-07T00:00:00Z,2022-03-30T21:09:59Z
Campbell Scientific,CR6,15370,Fox Glacier Kea Point,,2021-08-04T00:00:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,15371,Fox Glacier Victoria Falls,,2021-11-24T11:50:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,17444,Upper Tama Lake,,2022-03-30T20:40:00Z,2023-07-23T22:40:01Z
Campbell Scientific,CR6,17444,Tongariro Upper Emerald,,2023-11-29T22:20:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,17445,Raoul Island Green Lake,Envirosensor,2023-01-30T02:59:59Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,18430,Upper Te Maari Fumarole 3,,2024-09-04T23:10:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,20464,Fox Glacier Alpine Gardens,,2023-02-08T19:29:59Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,20467,Tongariro Upper Emerald,,2023-03-08T00:29:59Z,2023-11-29T22:19:59Z
Campbell Scientific,CR6,20468,Rotoma Soda Spring,,2023-03-09T00:09:59Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,20469,Auckland Scenic Drive Waiatarua,,2023-02-24T01:09:00Z,2024-02-25T13:50:01Z
Campbell Scientific,CR6,20470,Tongariro Lower Emerald Spring,,2023-03-14T01:00:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,20471,Ruapehu Crater Lake,Envirosensor,2025-05-13T22:20:00Z,9999-01-01T00:00:00Z
Campbell Scientific,CR6,20474,Upper Te Maari Fumarole 3,,2024-03-01T00:20:00Z,2024-09-04T21:20:00Z
Campbell Scientific,CR6,20475,Upper Tama Lake,,2023-07-24T00:09:59Z,9999-01-01T00:00:00Z
GNS Science,EARSS/16,204,Taranaki Emergency Management Office,EARSS Network,1993-12-14T23:51:00Z,2002-09-18T21:00:00Z
GNS Science,EARSS/16,207,Chateau Observatory,EARSS Network,1993-11-12T03:00:00Z,1998-06-11T09:00:00Z
GNS Science,EARSS/16,209,Wellington Dominion Observatory,EARSS Network,1995-03-10T23:59:00Z,1998-01-27T01:00:00Z
GNS Science,EARSS/16,209,Victoria University,EARSS Network,1998-03-02T03:48:00Z,2004-06-08T01:00:00Z
GNS Science,EARSS/3,001,Wellington Dominion Observatory,Earss,1987-08-18T10:48:00Z,2003-09-19T23:10:00Z
GNS Science,EARSS/3,002,Mangahao Dams,Short Period,1988-01-19T03:23:00Z,1990-01-11T21:18:00Z
GNS Science,EARSS/3,002,Matahi Valley,Short Period,1990-10-09T06:44:00Z,2001-12-20T06:52:00Z
GNS Science,EARSS/3,003,Pongaroa,Short Period,1988-09-08T01:43:00Z,1996-06-18T20:09:00Z
GNS Science,EARSS/3,004,Karapiro Power Station,Short Period,1988-09-30T08:21:00Z,1988-09-30T21:50:00Z
GNS Science,EARSS/3,004,Top House Station,Short Period,1989-12-02T09:50:00Z,1990-01-21T14:02:00Z
GNS Science,EARSS/3,004,Kuaotunu,Short Period,1990-10-11T12:51:00Z,2003-05-05T18:52:00Z
GNS Science,EARSS/3,006,Hicks Bay Motel Lodge,Short Period,1988-09-20T04:59:00Z,2004-03-01T22:10:00Z
GNS Science,EARSS/3,007,Kahutara,Short Period,1988-12-08T11:04:00Z,1989-11-17T16:55:00Z
GNS Science,EARSS/3,007,Waipu Caves,Short Period,1990-10-13T22:56:00Z,1999-06-25T02:45:00Z
GNS Science,EARSS/3,008,Lake Taylor Station,Short Period,1989-10-12T08:20:00Z,2004-03-22T19:39:00Z
GNS Science,EARSS/3,009,Glencoe Station,Short Period,1989-10-13T08:40:00Z,1999-01-05T20:45:00Z
GNS Science,EARSS/3,010,Whitehall,Short Period,1989-12-17T11:06:00Z,1998-12-07T18:14:00Z
GNS Science,EARSS/3,011,Puketiti,Short Period,1989-12-01T00:38:00Z,2003-12-16T06:27:00Z
GNS Science,EARSS/3,012,Cobb Dam Surge Chamber,Short Period,1989-12-02T16:12:00Z,1990-01-24T17:41:00Z
GNS Science,EARSS/3,012,Lake Moeraki Wilderness Lodge,Short Period,1990-11-08T10:19:00Z,1991-02-21T05:39:00Z
GNS Science,EARSS/3,012,Waitaha Valley,Short Period,1991-02-23T18:37:00Z,1991-03-19T21:45:00Z
GNS Science,EARSS/3,012,Lake Moeraki Wilderness Lodge,Short Period,1991-04-05T07:47:00Z,2004-07-30T17:37:00Z
GNS Science,EARSS/3,013,Kahutara,Short Period,1989-12-03T08:12:00Z,2003-09-28T09:22:00Z
GNS Science,EARSS/3,014,Mangahao Dams,Short Period,1990-01-12T00:53:00Z,1994-10-18T21:52:00Z
GNS Science,EARSS/3,015,Cobb Dam Surge Chamber,Short Period,1990-01-25T05:33:00Z,1990-04-25T19:32:00Z
GNS Science,EARSS/3,015,Quartz Range,Short Period,1990-04-26T04:39:00Z,2002-02-18T05:58:00Z
GNS Science,EARSS/3,016,Top House Station,Short Period,1990-01-23T04:39:00Z,2001-08-27T21:00:00Z
GNS Science,EARSS/3,016,Top House Station,Short Period,2001-08-27T21:00:01Z,2003-09-24T11:54:00Z
GNS Science,EARSS/3,017,Mangatuna,Short Period,1990-03-06T12:48:00Z,2004-04-02T14:14:00Z
GNS Science,EARSS/3,018,Waitaha Valley,Short Period,1990-05-16T14:12:00Z,1991-01-30T20:00:00Z
GNS Science,EARSS/3,018,Waitaha Valley,Short Period,1991-03-22T04:13:00Z,2003-12-11T16:33:00Z
GNS Science,EARSS/3,019,Denniston North,Short Period,1990-02-20T16:19:00Z,1998-09-23T00:04:00Z
GNS Science,EARSS/3,019,Deep Cove,Short Period,2000-03-06T04:19:00Z,2003-06-18T21:08:00Z
GNS Science,EARSS/3,019,Milford Sound,Short Period,2004-05-14T02:34:00Z,2005-06-15T04:06:00Z
GNS Science,EARSS/3,020,Mahoenui,Short Period,1990-04-28T04:22:00Z,2003-09-29T18:27:00Z
GNS Science,EARSS/3,022,Milford Sound,Short Period,1990-05-28T11:33:00Z,2004-05-13T19:57:00Z
GNS Science,EARSS/3,023,Bushy Park,Short Period,1990-06-20T05:14:00Z,2003-11-27T03:07:00Z
GNS Science,EARSS/3,024,Braida Crags,Short Period,1990-05-28T11:33:00Z,1993-07-16T15:59:00Z
GNS Science,EARSS/3,025,Navawan,Short Period,1990-08-14T08:30:00Z,1992-05-19T07:21:00Z
GNS Science,EARSS/3,025,Oio,Short Period,1992-09-18T09:41:00Z,2004-04-26T16:22:00Z
GNS Science,EARSS/3,026,Otahua Downs,Short Period,1990-08-31T03:13:00Z,2003-09-10T23:57:00Z
GNS Science,EARSS/3,027,Horseshoe Bay,Short Period,1990-12-14T11:46:00Z,2001-10-23T22:04:00Z
GNS Science,EARSS/3,028,Berwen Station,Short Period,1991-02-20T11:46:00Z,2004-06-21T22:39:00Z
GNS Science,EARSS/3,029,Ngariki Road,Short Period,1991-02-21T19:09:00Z,2003-12-16T04:24:00Z
GNS Science,EARSS/3,030,Omahuta,Short Period,1991-03-12T03:26:00Z,2000-05-15T02:04:00Z
GNS Science,EARSS/3,031,Erewhon,Short Period,1991-03-21T03:43:00Z,2001-07-02T14:38:00Z
GNS Science,EARSS/3,032,Tuapeka,Short Period,1991-04-04T17:54:00Z,2003-09-09T20:46:00Z
GNS Science,EARSS/3,033,Deep Cove,Short Period,1991-06-06T13:34:00Z,1993-03-18T14:31:00Z
GNS Science,EARSS/3,033,Deep Cove,Short Period,1993-07-16T02:54:00Z,1993-08-13T00:04:00Z
GNS Science,EARSS/3,033,Deep Cove,Short Period,1993-09-02T04:55:00Z,2000-03-05T17:28:00Z
GNS Science,EARSS/3,034,Motea,Short Period,1992-04-29T02:56:00Z,1995-06-26T02:44:00Z
GNS Science,EARSS/3,036,Mangatainoka River,Short Period,1992-06-24T02:51:00Z,2003-04-15T01:43:00Z
GNS Science,EARSS/3,037,Wether Hill Road,Short Period,1993-03-22T15:45:00Z,2001-10-08T17:24:00Z
GNS Science,EARSS/3,038,Hikuraki Station,Short Period,1996-03-09T00:15:00Z,2003-08-23T20:02:00Z
GNS Science,EARSS/3,039,Alexandra,Short Period,1996-03-07T02:15:00Z,2004-08-30T20:34:00Z
GNS Science,EARSS/3,040,Birch Farm,Short Period,1996-07-19T06:10:00Z,2003-06-12T13:03:00Z
GNS Science,EARSS/3,087,Pawanui,Short Period,2001-01-30T00:23:00Z,2001-03-21T02:44:00Z
GNS Science,EARSS/3,099,Mangaore,Short Period,1991-07-30T22:16:00Z,1991-12-02T14:41:00Z
GNS Science,EARSS/3,101,Percy Dyett Drive,Short Period,1988-07-01T22:49:00Z,1988-07-05T18:19:00Z
GNS Science,EARSS/3,101,Braida Crags,Short Period,1989-06-05T07:12:00Z,1989-06-09T03:31:00Z
GNS Science,EARSS/3,101,Sinclair Castle,Short Period,1991-01-30T22:08:00Z,1991-02-04T22:02:00Z
GNS Science,EARSS/3,101,Kisbee Bay,Short Period,1993-03-23T02:57:00Z,1993-06-22T16:55:00Z
GNS Science,EARSS/3,101,Anchorage Arm,Short Period,1993-08-14T23:24:00Z,1993-08-17T17:55:00Z
GNS Science,EARSS/3,101,Graham Valley,Short Period,1993-10-24T08:36:00Z,1994-03-01T16:34:00Z
GNS Science,EARSS/3,101,Linkwater,Short Period,1994-03-04T04:43:00Z,1994-03-13T19:06:00Z
GNS Science,EARSS/3,101,Double Hill,Short Period,1994-06-20T00:47:00Z,1994-06-29T07:49:00Z
GNS Science,EARSS/3,101,Kokohu,Short Period,1994-07-23T06:01:00Z,1994-12-09T21:26:00Z
GNS Science,EARSS/3,101,Earthquake Flat Road,Short Period,1995-01-12T03:16:00Z,1995-06-06T20:12:00Z
GNS Science,EARSS/3,101,Rakaia,Short Period,1995-11-09T00:00:00Z,1996-04-19T00:00:00Z
GNS Science,EARSS/3,101,Onenui,Short Period,2001-01-13T04:01:00Z,2001-06-25T15:55:00Z
GNS Science,EARSS/3,102,Knob's Flat,Short Period,1988-06-07T21:10:00Z,1988-06-07T21:12:00Z
GNS Science,EARSS/3,102,Te Anau Downs,Short Period,1988-06-08T05:51:00Z,1988-06-11T05:00:00Z
GNS Science,EARSS/3,102,Centre Hill,Short Period,1989-06-04T06:22:00Z,1989-06-08T08:18:00Z
GNS Science,EARSS/3,102,Braida Crags,Short Period,1989-06-09T15:02:00Z,1989-06-19T17:30:00Z
GNS Science,EARSS/3,102,Waitahora,Short Period,1990-02-19T21:40:00Z,1990-05-17T20:29:00Z
GNS Science,EARSS/3,102,Donkey Creek,Short Period,1991-01-29T23:15:00Z,1991-02-04T20:42:00Z
GNS Science,EARSS/3,102,Deep Cove,Short Period,1993-03-19T01:15:00Z,1993-07-15T14:46:00Z
GNS Science,EARSS/3,102,Henry Creek,Short Period,1993-08-12T23:16:00Z,1993-08-31T03:48:00Z
GNS Science,EARSS/3,102,Goat Hill,Short Period,1993-10-22T10:34:00Z,1994-02-27T20:08:00Z
GNS Science,EARSS/3,102,Molesworth,Short Period,1994-03-01T08:55:00Z,1994-03-11T20:39:00Z
GNS Science,EARSS/3,102,Arakihi,Short Period,1994-07-22T05:17:00Z,1994-12-12T23:16:00Z
GNS Science,EARSS/3,102,Ash Pit Road,Short Period,1995-01-11T00:56:00Z,1995-01-29T00:58:00Z
