Make,Model,Serial,Version,Start Date,End Date,Notes
"Allen Osborne Associates, Inc.",ROGUE SNR-8000,132,3.2,1995-05-31T00:00:00Z,1999-08-12T23:10:00Z,
"Allen Osborne Associates, Inc.",ROGUE SNR-8000,132,3.2.32.8,1999-08-12T23:10:01Z,9999-01-01T00:00:00Z,
"Allen Osborne Associates, Inc.",ROGUE SNR-8000,133,3.2.32.8,1995-01-01T00:00:00Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,03066,CR6.Std.04,2018-08-10T00:00:00Z,2021-11-18T23:59:00Z,
Campbell Scientific,CR6,03066,CR6.Std.11.01,2021-11-19T00:00:00Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,04108,CR6.Std.11.01,1901-01-01T00:00:00Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,04109,CR6.Std.09.02,2021-10-15T00:00:00Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,04110,CR6.Std.04,2018-08-28T00:00:00Z,2021-11-18T23:59:00Z,
Campbell Scientific,CR6,04110,CR6.Std.11.01,2021-11-19T00:00:00Z,2024-06-03T23:50:01Z,
Campbell Scientific,CR6,04110,CR6.Std.12.02,2024-06-04T03:59:59Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,04111,CR6.Std.11.01,2021-11-17T14:10:00Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,04112,CR6.Std.xx.xx,1901-01-01T00:00:00Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,04114,CR6.Std.11.01,2021-10-14T00:00:00Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,04115,CR6.Std.04,2020-10-24T00:00:00Z,2022-01-26T23:59:00Z,
Campbell Scientific,CR6,04115,CR6.Std.11.01,2022-01-27T00:00:00Z,2023-11-08T23:59:00Z,
Campbell Scientific,CR6,04115,CR6.Std.12.02,2023-11-09T00:00:00Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,04116,CR6.Std.04,2017-12-05T00:00:00Z,2021-11-04T23:59:00Z,
Campbell Scientific,CR6,04116,CR6.Std.11.01,2021-11-05T00:00:00Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,04117,CR6.Std.04,2019-03-12T00:00:00Z,2022-03-30T23:59:00Z,
Campbell Scientific,CR6,04117,CR6.Std.11.01,2022-04-01T00:00:00Z,2022-09-01T23:59:00Z,
Campbell Scientific,CR6,04117,CR6.Std.11.02,2022-09-02T00:00:00Z,2023-12-13T01:36:59Z,
Campbell Scientific,CR6,04117,CR6.Std.12.02,2023-12-13T01:37:00Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,11300,CR6.Std.11.01,2021-11-21T00:00:00Z,9999-01-01T00:00:00Z,
Campbell Scientific,CR6,11301,CR6.Std.09.02,2021-07-01T00:00:00Z,2023-11-09T23:59:00Z,
