Station,Location,Sublocation,Subsource,Scale Factor,Scale Bias,Absolute Bias,Start Date,End Date
AHAM,50,,X,,0x60,,2022-03-19T00:00:00Z,9999-01-01T00:00:00Z
AHAM,50,,Y,,0x00,,2022-03-19T00:00:00Z,9999-01-01T00:00:00Z
AHAM,50,,Z,,0xb0,,2022-03-19T00:00:00Z,9999-01-01T00:00:00Z
ALS1R,01,01,,0.2,,,2023-02-24T01:09:00Z,9999-01-01T00:00:00Z
ALS2R,01,01,,0.2,,,2023-02-23T03:59:00Z,9999-01-01T00:00:00Z
EYWM,50,,X,,0x8f,,2013-12-15T00:00:00Z,9999-01-01T00:00:00Z
EYWM,50,,Y,,0x00,,2013-12-15T00:00:00Z,9999-01-01T00:00:00Z
EYWM,50,,Z,,0x6d,,2013-12-15T00:00:00Z,9999-01-01T00:00:00Z
FOXAG,01,01,,0.2,,,2023-02-08T19:29:59Z,9999-01-01T00:00:00Z
FOXKP,01,01,,0.5,,,2023-02-08T01:00:00Z,9999-01-01T00:00:00Z
FOXKP,04,01,,,9.177308,,2023-02-07T23:50:01Z,9999-01-01T00:00:00Z
FOXRB,01,01,,0.5,,,2023-02-08T23:49:59Z,9999-01-01T00:00:00Z
FOXVF,01,01,,0.2,,,2023-02-09T03:39:59Z,9999-01-01T00:00:00Z
FOXVF,04,01,,,-2.176395,,2023-02-09T02:50:01Z,9999-01-01T00:00:00Z
FOXVF,05,01,,,-5.494182,,2023-02-09T02:50:01Z,9999-01-01T00:00:00Z
FOXVV,01,01,,0.5,,,2023-02-09T03:29:59Z,9999-01-01T00:00:00Z
FOXVV,04,01,,,-8.570246,,2023-02-09T03:50:01Z,9999-01-01T00:00:00Z
FOXVV,05,01,,,-4.625630,,2023-02-09T03:50:01Z,9999-01-01T00:00:00Z
OT001,03,01,,0.70325,,,2022-07-28T01:59:00Z,9999-01-01T00:00:00Z
OT001,04,01,,-1,1.327,,2019-10-11T00:50:00Z,9999-01-01T00:00:00Z
RLGLK,04,01,,0.70325,,,2023-01-30T02:59:59Z,9999-01-01T00:00:00Z
TOUEM,01,01,,0.70325,,,2021-05-21T00:00:00Z,9999-01-01T00:00:00Z
TOUTL,01,01,,0.70325,,,2019-03-12T03:30:00Z,9999-01-01T00:00:00Z
TRAR1,05,01,,0.5,,,2023-04-18T04:00:00Z,9999-01-01T00:00:00Z
