Station,Location,Subsource,Scale Factor,Start Date,End Date
AWAZ,10,,30,2010-12-14T01:00:00Z,2018-07-05T03:00:00Z
AWAZ,10,,32,2018-07-05T03:30:00Z,9999-01-01T00:00:00Z
COVZ,31,,30,2014-04-01T23:40:00Z,2015-02-23T00:00:00Z
EPAZ,10,,30,2011-08-23T00:00:01Z,2022-10-30T21:18:00Z
EPAZ,10,,40,2022-10-31T01:37:00Z,9999-01-01T00:00:00Z
ETAZ,10,,30,2010-02-11T00:00:03Z,2018-07-05T06:00:00Z
ETAZ,10,,32,2018-07-05T08:00:00Z,9999-01-01T00:00:00Z
GCSZ,10,,30,2012-04-20T00:00:01Z,2012-06-21T00:00:00Z
GCSZ,10,,30,2012-06-21T00:00:01Z,2013-02-03T00:00:00Z
GCSZ,10,,30,2013-02-03T00:10:00Z,2018-10-15T00:00:00Z
GCSZ,10,,32,2018-10-15T00:10:00Z,2022-02-02T09:20:00Z
HBAZ,10,,30,2009-08-07T00:00:02Z,2022-10-30T23:31:00Z
HBAZ,10,,40,2022-10-31T01:37:02Z,9999-01-01T00:00:00Z
KBAZ,10,,30,2008-11-11T00:00:01Z,2018-12-06T02:00:00Z
KBAZ,10,,32,2018-12-06T03:00:01Z,2020-07-31T00:47:00Z
KBAZ,10,,32,2020-08-05T20:41:00Z,9999-01-01T00:00:00Z
MBAZ,10,,30,2012-10-08T23:30:00Z,2018-05-08T22:19:00Z
MBAZ,10,,30,2018-05-08T23:50:00Z,2018-07-05T22:16:00Z
MBAZ,10,,32,2018-07-05T22:20:00Z,9999-01-01T00:00:00Z
NBEZ,10,,30,2012-10-16T00:01:00Z,2022-06-15T21:48:00Z
NBEZ,10,,40,2022-06-21T00:34:00Z,9999-01-01T00:00:00Z
NEZ,10,,30,2010-06-02T06:00:00Z,2010-06-07T23:30:00Z
NEZ,11,,30,2010-06-07T23:35:00Z,2011-07-20T00:00:00Z
NEZ,11,,30,2011-08-09T05:30:00Z,2013-12-04T01:00:00Z
NEZ,11,,32,2014-03-20T00:00:10Z,2019-11-10T08:41:00Z
NEZ,11,,32,2019-11-14T00:25:00Z,2020-01-30T05:08:00Z
NTVZ,31,,30,2016-01-14T02:10:00Z,2019-04-17T01:10:00Z
NTVZ,32,,30,2016-01-14T02:10:00Z,2019-04-17T01:10:00Z
RVAZ,10,,30,2008-04-02T01:00:00Z,2013-02-20T00:30:00Z
RVAZ,10,,30,2013-02-20T04:30:01Z,2013-10-23T02:00:00Z
RVAZ,10,,30,2014-03-06T00:00:20Z,2022-05-18T01:27:00Z
RVAZ,10,,40,2022-05-30T02:59:00Z,9999-01-01T00:00:00Z
SMHS,50,,4,2024-07-01T03:10:00Z,9999-01-01T00:00:00Z
WNVZ,11,,30,2010-04-09T02:30:00Z,2010-05-31T00:02:00Z
WNVZ,11,,30,2010-05-31T00:02:01Z,2017-05-30T00:00:00Z
WNVZ,11,,32,2017-05-30T11:40:01Z,9999-01-01T00:00:00Z
WSRZ,31,,30,2014-11-20T02:00:00Z,2017-02-26T23:55:00Z
WSRZ,32,,30,2014-11-20T02:00:00Z,2017-02-26T23:55:00Z
