Make,Model,Serial,Mark,Start Date,End Date
"Allen Osborne Associates, Inc.",ROGUE SNR-8000,132,AUCK,1995-05-31T00:00:00Z,1995-06-02T00:00:00Z
"Allen Osborne Associates, Inc.",ROGUE SNR-8000,132,AUCK,1995-09-18T00:00:00Z,2001-10-28T00:00:00Z
"Allen Osborne Associates, Inc.",ROGUE SNR-8000,133,CHAT,1995-10-04T00:00:00Z,2001-11-28T00:00:00Z
Leica Geosystems,LEICA CRS1000,23181,DUNT,1999-09-23T00:00:03Z,2000-08-01T00:00:00Z
Leica Geosystems,LEICA CRS1000,23181,DUNT,2000-08-14T00:00:01Z,2002-04-05T00:00:00Z
Leica Geosystems,LEICA CRS1000,23183,WGTT,2000-05-31T00:00:01Z,2006-08-24T01:20:00Z
Leica Geosystems,LEICA CRS1000,23199,LYTT,1999-11-15T00:00:03Z,2003-11-23T23:59:59Z
Leica Geosystems,LEICA CRS1000,23204,WGTT,1999-12-14T00:00:00Z,1999-12-20T00:00:00Z
Leica Geosystems,LEICA CRS1000,23242,WGTT,1999-12-20T00:00:01Z,2000-01-06T00:00:00Z
Leica Geosystems,LEICA CRS1000,23243,WGTT,2000-01-06T00:00:01Z,2000-05-31T00:00:00Z
Leica Geosystems,LEICA CRS1000,23243,DUNT,2000-08-01T00:00:01Z,2000-08-14T00:00:00Z
Leica Geosystems,LEICA CRS1000,23243,TAKL,2001-07-11T00:00:00Z,2007-07-05T03:44:00Z
Leica Geosystems,LEICA CRS1000,30188,DUNT,2002-04-05T00:00:02Z,2007-06-05T23:59:59Z
Leica Geosystems,LEICA GRX1200GGPRO,353205,LYTT,2007-09-26T00:00:01Z,9999-01-01T00:00:00Z
Leica Geosystems,LEICA GRX1200GGPRO,463475,DUNT,2007-06-06T00:00:00Z,2024-07-31T03:26:45Z
Leica Geosystems,LEICA RS500,82242,LYTT,2003-11-24T00:00:00Z,2007-09-26T00:00:00Z
Thales,ASHTECH MICROZ,ZR220021105,AUCK,2002-12-01T00:02:00Z,2003-01-09T00:00:00Z
Thales,ASHTECH Z-XII3,LP00155,WGTN,1996-05-23T00:00:00Z,2005-03-21T01:59:59Z
Thales,ASHTECH Z-XII3,LP00611,GRAC,1999-10-14T00:00:00Z,1999-11-11T00:00:00Z
Thales,ASHTECH Z-XII3,LP00611,FALE,2000-01-18T00:00:00Z,2010-10-21T22:13:00Z
Thales,ASHTECH Z-XII3,LP01192,GRAC,1998-07-10T00:00:00Z,1999-08-03T00:00:00Z
Thales,ASHTECH Z-XII3,LP01192,FALE,1999-08-10T00:00:00Z,1999-12-23T00:00:00Z
Thales,ASHTECH Z-XII3,LP01192,GRAC,2000-02-18T00:00:01Z,2001-01-05T00:00:00Z
Thales,ASHTECH Z-XII3,LP01192,GRAC,2001-01-25T00:00:00Z,2001-01-30T23:59:59Z
Thales,ASHTECH Z-XII3,LP01192,CHAT,2002-02-20T01:00:01Z,2002-03-28T00:00:00Z
Thales,ASHTECH Z-XII3,LP01199,FALE,1996-11-13T00:00:00Z,1997-04-10T23:59:59Z
Thales,ASHTECH Z-XII3,LP01211,NIUC,1996-11-13T00:00:00Z,1997-04-24T23:59:59Z
Thales,ASHTECH Z-XII3,LP020000305,GRAC,1999-11-23T00:00:00Z,1999-12-28T00:00:00Z
Thales,ASHTECH Z-XII3,LP020000805,PAEK,2000-04-11T00:00:00Z,2006-07-27T00:00:00Z
Thales,ASHTECH Z-XII3,LP02739,NIUC,1997-04-25T00:00:00Z,2003-11-01T00:00:01Z
Thales,ASHTECH Z-XII3,LP02741,FALE,1997-04-11T00:00:00Z,1999-08-09T23:59:59Z
Thales,ASHTECH Z-XII3,LP02741,VAVS,2000-09-21T00:00:00Z,2008-10-05T11:08:00Z
Thales,ASHTECH Z-XII3,LP03211,HOKI,1998-07-06T00:00:00Z,2003-09-05T22:56:00Z
Thales,ASHTECH Z-XII3,LP419994101,GRAC,2000-01-26T00:00:00Z,2000-02-18T00:00:00Z
Thales,ASHTECH Z-XII3,LP419994101,CHAT,2001-11-28T02:14:00Z,2002-02-20T01:00:00Z
Thales,ASHTECH Z-XII3,LP419994101,CHAT,2002-03-28T00:09:30Z,2012-05-23T20:00:00Z
Thales,ASHTECH Z-XII3,LP419994102,VAVS,2000-09-20T00:00:00Z,2000-09-20T23:59:59Z
Thales,ASHTECH Z-XII3,LP419994102,AUCK,2001-10-28T02:17:00Z,2002-12-01T00:01:00Z
Thales,ASHTECH Z-XII3,LP419994102,AUCK,2003-01-09T02:00:00Z,2005-11-03T03:59:00Z
Thales,ASHTECH Z-XII3,LP419994103,MQZG,2001-09-03T00:00:01Z,2005-02-28T03:00:00Z
Trimble Navigation Ltd.,TRIMBLE 4000SSE,7590,OUSD,1995-01-16T00:00:00Z,1999-08-08T23:59:59Z
Trimble Navigation Ltd.,TRIMBLE 4000SSE,7590,OUSD,1999-08-13T00:00:00Z,2005-11-16T23:59:59Z
Trimble Navigation Ltd.,TRIMBLE 4000SSI,18169,OUSD,2005-11-17T00:00:00Z,2006-01-30T23:59:59Z
Trimble Navigation Ltd.,TRIMBLE 4000SSI,3609A14696,MTJO,2000-08-15T00:00:00Z,2004-06-05T02:00:00Z
Trimble Navigation Ltd.,TRIMBLE 4000SSI,3616A15401,NETT,2000-02-07T00:00:00Z,2008-03-18T04:00:00Z
