Make,Sensor,Datalogger,Serial,Station,Location,Azimuth,Method,Dip,Depth,Start Date,End Date
Canterbury Seismic Instruments,CUSP-M4,CUSP-M4,3D-42200,JSCB,21,252,,0,-0.3,2014-06-15T00:00:00Z,2022-06-18T00:03:00Z
Canterbury Seismic Instruments,CUSP-M4,CUSP-M4,3D-42204,JSCB,22,252,,0,-2.5,2014-06-15T00:00:00Z,2022-06-18T00:03:00Z
Canterbury Seismic Instruments,CUSP-M4,CUSP-M4,3D-42207,JSCB,23,252,,0,-2.5,2014-06-15T00:00:00Z,2022-06-18T00:03:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20733,TRAB,21,278,,0,-1.2,2013-08-02T00:00:00Z,2025-01-24T01:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20734,TRAB,22,98,,0,-1.25,2013-08-02T00:00:00Z,2025-01-24T01:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20735,TRAB,23,98,,0,-5.9,2013-08-02T00:00:00Z,2025-01-24T01:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20736,TRAB,24,278,,0,0,2013-08-02T00:00:00Z,2014-05-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20737,TRAB,25,98,,0,-6.25,2013-08-02T00:00:00Z,2025-01-24T01:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20738,TRAB,26,278,,0,0,2013-08-02T00:00:00Z,2016-07-24T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20739,TRAB,27,98,,0,-1.7,2013-08-02T00:00:00Z,2025-01-24T01:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20740,TRAB,28,278,,0,0,2013-08-02T00:00:00Z,2016-07-24T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20740,TRAB,28,278,,0,0,2023-06-12T05:04:00Z,2025-01-24T01:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20741,TROB,21,247,,-90,-0.5,2013-08-02T00:00:00Z,2025-02-22T02:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20742,TROB,22,247,,90,0,2013-08-02T00:00:00Z,2014-07-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20742,STSB,21,325,,0,2.853,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20743,TROB,23,247,,-90,-5.6,2013-08-02T00:00:00Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20745,TROB,24,247,,-90,-4.6,2013-08-02T00:00:00Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20746,TROB,25,247,,-90,-6.2,2013-08-02T00:00:00Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20747,TROB,26,247,,-90,-5.6,2013-08-02T00:00:00Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20748,TROB,27,247,,-90,-0.5,2013-08-02T00:00:00Z,2025-02-22T02:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20749,TROB,28,247,,90,0,2013-08-02T00:00:00Z,2014-07-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20749,STSB,22,325,,0,0.353,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3DE-20750,TRAB,24,278,,0,0,2014-05-01T01:00:00Z,2016-07-24T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20752e,STSB,29,325,,0,-18.56,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20753e,STSB,2A,325,,0,-18.56,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20754e,STSB,2B,325,,0,-18.56,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20755e,STSB,2C,325,,0,-22.202,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20756e,STSB,2D,325,,0,-25.882,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20757e,STSB,2E,325,,0,-29.542,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20758e,STSB,2F,325,,0,-32.881,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20759e,STSB,2G,325,,0,-32.681,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20761e,CWHB,2A,134,,0,-28.41,2019-06-17T00:00:00Z,2024-02-18T15:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20762e,CWHB,2B,134,,0,-28.41,2019-06-17T00:00:00Z,2024-02-18T15:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20763e,CWHB,2C,134,,0,-28.41,2019-06-17T00:00:00Z,2024-02-18T15:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20764e,CWHB,2D,134,,0,-33.81,2019-06-17T00:00:00Z,2024-02-18T15:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20765e,CJHB,23,32,,0,-3.13,2023-05-24T03:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20767e,TDFB,2F,310,,0,0,2023-06-25T23:27:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20771e,CPXB,21,32,,0,-1.1,2020-12-17T20:35:00Z,2023-11-21T19:56:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20772e,CPXB,22,32,,0,-1.1,2020-12-17T20:35:00Z,2023-11-21T19:56:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20773e,CPXB,23,32,,0,-1.1,2020-12-17T20:35:00Z,2023-11-21T19:56:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20774e,CPXB,24,32,,0,-1.1,2020-12-17T20:35:00Z,2023-11-21T19:56:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20775e,CPXB,25,32,,0,-15.9,2020-12-17T20:35:00Z,2023-11-21T19:56:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20776e,CPXB,26,32,,0,-15.7,2020-12-17T20:35:00Z,2023-11-21T19:56:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20777e,CPXB,27,32,,0,-24.5,2020-12-17T20:35:00Z,2023-11-21T19:56:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20778e,CPXB,28,32,,0,-24.6,2020-12-17T20:35:00Z,2023-11-21T19:56:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20779e,CPXB,29,32,,0,-31.8,2020-12-17T20:35:00Z,2023-11-21T19:56:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20780e,CPXB,2A,32,,0,-31.8,2020-12-17T20:35:00Z,2023-11-21T19:56:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20801e,CJHB,21,32,,0,-3.25,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20802e,CJHB,22,32,,0,-3.09,2019-07-19T00:00:00Z,2024-09-23T23:14:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20803e,CJHB,23,32,,0,-3.13,2019-07-19T00:00:00Z,2022-10-21T01:59:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20804e,CJHB,24,32,,0,-3.5,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20805e,CJHB,25,32,,0,-6.956,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20806e,CJHB,26,32,,0,-10.96,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20807e,CJHB,27,32,,0,-10.77,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20808e,CJHB,28,32,,0,-14.82,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20809e,CJHB,29,32,,0,-18.24,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20810e,CJHB,2A,32,,0,-23.32,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20811e,CJHB,2B,32,,0,-30.665,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20812e,CJHB,2C,32,,0,-30.425,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20813e,CJHB,2D,32,,0,-30.66,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20814e,CJHB,2E,32,,0,-30.665,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20815e,CJHB,2F,32,,0,-42.395,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20820e,CJHB,23,32,,0,-3.13,2022-10-21T02:00:00Z,2023-05-24T02:47:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De-20862e,CJHB,22,32,,0,-3.09,2024-09-23T23:54:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20703,TRAB,24,278,,0,0,2016-07-24T01:00:00Z,2025-01-24T01:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20704,TRAB,26,278,,0,0,2016-07-24T01:00:00Z,2025-01-24T01:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20705,TRAB,28,278,,0,0,2016-07-24T01:00:00Z,2021-05-19T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20706,TROB,22,247,,90,0,2016-07-25T01:00:00Z,2025-02-22T02:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20707,TROB,28,247,,90,0,2016-07-25T01:00:00Z,2025-02-22T02:10:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20708,CBLB,2G,32,,0,0,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20709,TRAB,28,278,,0,0,2021-05-19T01:00:00Z,2023-06-12T04:57:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20875,CJHB,2G,32,,0,0.35,2019-07-19T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20909,CBLB,21,32,,0,3.58,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20910,CBLB,22,32,,0,3.58,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20911,CBLB,23,32,,0,3.58,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20912,CBLB,24,32,,0,3.58,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20913,CBLB,25,32,,0,0,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20914,CBLB,26,32,,0,-7.89,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20915,CBLB,27,32,,0,-7.89,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20916,CBLB,28,32,,0,-7.89,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20917,CBLB,29,32,,0,-7.89,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20918,CBLB,2A,32,,0,-11.53,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20919,CBLB,2B,32,,0,-18.68,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20920,CBLB,2C,32,,0,-18.68,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20921,CBLB,2D,32,,0,-18.68,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20922,CBLB,2E,32,,0,-18.68,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20923,CBLB,2F,32,,0,-18.68,2016-08-28T12:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20925,CCMB,21,32,,0,1.62,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20926,CCMB,22,32,,0,1.75,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20927,CCMB,23,32,,0,1.65,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20928,CCMB,24,32,,0,1.8,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20929,CCMB,25,32,,0,1.75,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20930,CCMB,26,32,,0,-3.29,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20931,CCMB,27,32,,0,-7.295,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20932,CCMB,28,32,,0,-6.645,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20933,CCMB,29,32,,0,-6.565,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20934,CCMB,2A,32,,0,-11.165,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
