Make,Model,Serial,Station,Location,Azimuth,Method,Dip,Depth,North,East,Scale Factor,Scale Bias,Start Date,End Date
Applied Geomechanics Inc,Lily tiltmeter,N7935,COVZ,90,233,,0,64,0,0,0,0,2009-11-15T01:00:00Z,2013-05-24T00:00:00Z
Applied Geomechanics Inc,Lily tiltmeter,N8994,WNVZ,90,134,,0,47,0,0,0,0,2011-02-10T01:00:00Z,9999-01-01T00:00:00Z
Benioff,BENIOFF,KRP_004,KRP,10,0,,0,0,0,0,0,0,1988-09-30T08:22:00Z,1988-09-30T21:50:00Z
Benioff,BENIOFF-3D,WEL_001,WEL,10,0,,0,0,0,0,0,0,1988-02-29T11:00:00Z,1990-10-02T18:00:00Z
Benioff,BENIOFF-3D,WEL_WLN,WEL,11,0,,0,0,0,0,0,0,1988-02-29T11:00:00Z,1990-10-02T18:00:00Z
Boise State University,InfraBSU microphone,0124,WSRZ,31,0,,0,0,0,0,0,0,2014-11-20T02:00:00Z,2018-05-28T21:00:00Z
Boise State University,InfraBSU microphone,0124,WSRZ,33,0,,0,0,0,0,0,0,2018-05-28T22:15:00Z,9999-01-01T00:00:00Z
Boise State University,InfraBSU microphone,0126,NTVZ,32,0,,0,0,0,0,0,0,2016-01-14T02:10:00Z,9999-01-01T00:00:00Z
Boise State University,InfraBSU microphone,0137,KHEZ,31,0,,0,0,0,0,0,0,2014-10-14T04:00:00Z,9999-01-01T00:00:00Z
Boise State University,InfraBSU microphone,0138,KHEZ,32,0,,0,0,0,0,0,0,2014-10-14T04:00:00Z,9999-01-01T00:00:00Z
Boise State University,InfraBSU microphone,0147,WIZ,32,0,,0,0,0,0,0,0,2015-01-22T00:00:00Z,9999-01-01T00:00:00Z
Boise State University,InfraBSU microphone,0148,KHEZ,33,0,,0,0,0,0,0,0,2014-10-14T04:00:00Z,9999-01-01T00:00:00Z
Boise State University,InfraBSU microphone,0149,COVZ,31,0,,0,-10,0,0,0,0,2014-04-01T23:40:00Z,2015-02-23T00:00:00Z
Boise State University,InfraBSU microphone,0149,NTVZ,31,0,,0,0,0,0,0,0,2016-01-14T02:10:00Z,9999-01-01T00:00:00Z
Boise State University,InfraBSU microphone,0150,PREZ,33,0,,0,0,0,0,0,0,2014-05-14T00:01:00Z,9999-01-01T00:00:00Z
Boise State University,InfraBSU microphone,0151,PREZ,31,0,,0,0,0,0,0,0,2014-05-14T00:01:00Z,9999-01-01T00:00:00Z
Boise State University,InfraBSU microphone,0154,PREZ,32,0,,0,0,0,0,0,0,2014-05-14T00:01:00Z,9999-01-01T00:00:00Z
Boise State University,InfraBSU microphone,0157,WIZ,31,0,,0,0,0,0,0,0,2015-01-22T00:00:00Z,9999-01-01T00:00:00Z
Boise State University,InfraBSU microphone,0160,WSRZ,32,0,,0,0,0,0,0,0,2014-11-20T02:00:00Z,2018-05-28T21:00:00Z
Boise State University,InfraBSU microphone,0160,WSRZ,34,0,,0,0,0,0,0,0,2018-05-28T22:15:00Z,9999-01-01T00:00:00Z
Campbell Scientific,Pulse radar water-level sensor CS475A,001,OT001,05,0,,0,0,0,0,0,0,2019-10-11T00:50:00Z,9999-01-01T00:00:00Z
Campbell Scientific,Titanium pressure transducer CS456,70010135,TOUTL,01,0,,0,0,0,0,0,0,2019-03-12T03:30:00Z,9999-01-01T00:00:00Z
Duke University,2 Hz Duke Malin Seismometer,001,RIVH,11,0,,0,250,0,0,0,0,2007-02-08T20:10:00Z,2007-05-14T03:40:00Z
Duke University,2 Hz Duke Malin Seismometer,001,RVAZ,10,360,,0,250,0,0,0,0,2008-04-02T01:00:00Z,2013-10-23T02:00:00Z
Duke University,2 Hz Duke Malin Seismometer,110,KBAZ,10,0,,0,160,0,0,0,0,2008-07-11T01:00:00Z,2008-09-16T00:00:00Z
Duke University,2 Hz Duke Malin Seismometer,110,HBAZ,10,0,,0,380,0,0,0,0,2009-08-07T00:00:01Z,9999-01-01T00:00:00Z
Duke University,2 Hz Duke Malin Seismometer,301,ETAZ,10,0,,0,347,0,0,0,0,2010-02-11T00:00:03Z,9999-01-01T00:00:00Z
Duke University,2 Hz Duke Malin Seismometer,498,EPAZ,10,0,,0,383,0,0,0,0,2011-08-23T00:01:00Z,9999-01-01T00:00:00Z
Duke University,2 Hz Duke Malin Seismometer,501,WNVZ,11,160,,0,52,0,0,0,0,2010-05-31T00:02:01Z,9999-01-01T00:00:00Z
Duke University,2 Hz Duke Malin Seismometer,502,NEZ,10,0,,0,0,0,0,0,0,2010-06-02T06:00:00Z,2010-06-07T23:30:00Z
Duke University,2 Hz Duke Malin Seismometer,502,NEZ,11,0,,0,111.2,0,0,0,0,2010-06-07T23:35:00Z,2011-07-20T00:00:00Z
Duke University,2 Hz Duke Malin Seismometer,502,NEZ,11,0,,0,111.2,0,0,0,0,2011-08-09T05:30:00Z,2013-12-04T01:00:00Z
Duke University,2 Hz Duke Malin Seismometer,502,NEZ,11,0,,0,111.2,0,0,0,0,2014-03-20T00:00:10Z,2020-01-30T05:08:00Z
Duke University,2 Hz Duke Malin Seismometer,503,AWAZ,10,0,,0,371,0,0,0,0,2010-12-14T01:00:00Z,9999-01-01T00:00:00Z
Duke University,2 Hz Duke Malin Seismometer,551,MBAZ,10,0,,0,96,0,0,0,0,2012-10-08T23:30:00Z,2018-05-08T22:19:00Z
Duke University,2 Hz Duke Malin Seismometer,599,NBEZ,10,0,,0,43.8,0,0,0,0,2012-10-16T00:01:00Z,9999-01-01T00:00:00Z
Duke University,2 Hz Duke Malin Seismometer,600,MBAZ,10,0,,0,93,0,0,0,0,2018-05-08T23:50:00Z,9999-01-01T00:00:00Z
