Mark,Operator,Agency,Model,Satellite System,Interval,Elevation Mask,Header Comment,Format,Start Date,End Date
2406,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,4,geonet,trimble_netr9 x4,2012-02-13T00:38:01Z,2015-03-09T00:50:00Z
2406,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-03-09T00:50:01Z,9999-01-01T00:00:00Z
AHTI,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2009-06-10T23:31:00Z,2015-12-07T02:04:37Z
AHTI,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-12-07T02:04:38Z,9999-01-01T00:00:00Z
AKTO,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-04-27T00:01:01Z,2015-10-01T20:10:00Z
AKTO,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-10-01T21:39:00Z,9999-01-01T00:00:00Z
ANAU,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,4,geonet,trimble_netr9 x4,2010-10-18T23:35:01Z,2015-09-03T04:13:00Z
ANAU,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-09-03T04:13:01Z,9999-01-01T00:00:00Z
ARTA,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2008-11-05T00:00:00Z,2016-03-21T22:28:59Z
ARTA,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-03-21T22:29:02Z,9999-01-01T00:00:00Z
ATIA,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_r x4,2006-10-10T23:00:30Z,2006-11-06T19:30:00Z
AUCK,GeoNet,GNS,ROGUE SNR-8000,GPS,30s,4,linz,other x6,1995-05-31T00:00:00Z,1995-06-02T00:00:00Z
AUCK,GeoNet,GNS,ROGUE SNR-8000,GPS,30s,4,linz,other x6,1995-09-18T00:00:00Z,2001-10-28T00:00:00Z
AUCK,GeoNet,GNS,ASHTECH Z-XII3,GPS,30s,4,linz,ashtech_r x6,2001-10-28T02:17:00Z,2002-12-01T00:01:00Z
AUCK,GeoNet,GNS,ASHTECH MICROZ,GPS,30s,4,linz,ashtech_u x4,2002-12-01T00:02:00Z,2003-01-09T00:00:00Z
AUCK,GeoNet,GNS,ASHTECH Z-XII3,GPS,30s,4,linz,ashtech_r x6,2003-01-09T02:00:00Z,2005-11-03T03:59:00Z
AUCK,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,linz,trimble_5700 x4,2005-11-03T04:00:00Z,2011-02-28T22:49:00Z
AUCK,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2011-02-28T23:59:59Z,2015-09-09T16:25:00Z
AUCK,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2015-09-09T16:25:01Z,2016-06-27T17:26:32Z
AUCK,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-06-27T17:26:33Z,9999-01-01T00:00:00Z
AUKT,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2009-09-21T22:00:00Z,2019-03-26T22:48:35Z
AUKT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2019-03-26T22:48:36Z,9999-01-01T00:00:00Z
AVLN,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-02-23T03:35:02Z,2016-09-19T02:31:27Z
AVLN,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-09-19T02:31:29Z,9999-01-01T00:00:00Z
BHST,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2008-06-12T00:05:00Z,2015-07-21T00:24:27Z
BHST,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-07-21T00:24:29Z,9999-01-01T00:00:00Z
BIRF,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2005-01-22T00:00:00Z,2015-10-08T01:00:00Z
BIRF,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-10-08T01:25:08Z,9999-01-01T00:00:00Z
BLUF,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,linz,trimble_5700 x4,2004-03-11T00:00:00Z,2010-11-25T04:42:00Z
BLUF,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2010-11-25T05:05:01Z,2015-08-23T15:25:00Z
BLUF,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2015-08-23T15:25:01Z,2016-05-10T17:16:44Z
BLUF,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-05-10T17:16:45Z,9999-01-01T00:00:00Z
BM8A,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,3,geonet,trimble_5700 x4,2013-01-29T00:00:02Z,2015-04-07T23:40:37Z
BM8A,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-04-07T23:40:38Z,2016-05-06T00:00:00Z
BNET,P Denys,OUSD,TRIMBLE 4000SSI,GPS,30s,4,sagenz,trimble_r x18,2005-02-15T00:00:00Z,2012-09-01T00:00:01Z
BNET,P Denys,OUSD,TRIMBLE NETRS,GPS,30s,3,sagenz,trimble_5700 x4,2012-09-01T00:01:00Z,9999-01-01T00:00:00Z
BTHL,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2009-01-12T01:00:00Z,2012-09-13T23:59:59Z
BTHL,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2012-09-24T00:32:52Z,2015-08-20T17:25:00Z
BTHL,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-08-20T17:25:01Z,9999-01-01T00:00:00Z
CAST,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-02-09T03:00:00Z,2013-12-02T23:00:00Z
CAST,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2013-12-03T00:00:02Z,2015-10-06T01:25:59Z
CAST,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-10-06T01:26:00Z,9999-01-01T00:00:00Z
CHAT,GeoNet,GNS,ROGUE SNR-8000,GPS,30s,4,linz,other x6,1995-10-04T00:00:00Z,2001-11-28T00:00:00Z
CHAT,GeoNet,GNS,ASHTECH Z-XII3,GPS,30s,4,linz,ashtech_r x6,2001-11-28T02:14:00Z,2012-05-23T20:00:00Z
CHTI,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,linz,trimble_5700 x4,2007-12-10T22:59:59Z,2011-04-05T01:00:00Z
CHTI,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2011-04-05T01:23:51Z,2015-09-09T17:25:00Z
CHTI,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2015-09-09T17:25:01Z,2016-06-27T17:53:27Z
CHTI,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-06-27T17:53:28Z,9999-01-01T00:00:00Z
CKID,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-05-23T02:00:00Z,2017-05-15T21:51:19Z
CKID,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-05-15T21:51:20Z,9999-01-01T00:00:00Z
CLIM,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2005-10-18T01:00:00Z,2015-08-20T22:57:38Z
CLIM,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-08-20T22:57:39Z,2019-07-07T22:54:07Z
CLIM,GeoNet,GNS,TRIMBLE ALLOY,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2019-07-07T22:54:08Z,2019-09-11T01:43:07Z
CLIM,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2019-09-11T01:43:08Z,9999-01-01T00:00:00Z
CLRR,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-04-19T02:56:38Z,9999-01-01T00:00:00Z
CLS3,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-06-21T04:58:51Z,2015-09-22T00:05:00Z
CLS4,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-06-21T22:13:45Z,2011-10-30T20:30:00Z
CLS5,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-06-21T23:52:45Z,2015-12-10T23:25:15Z
CLS5,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-12-10T23:25:16Z,2016-03-13T00:00:00Z
CLS6,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-10-13T22:21:05Z,2015-11-16T19:26:00Z
CLS6,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-11-16T19:26:01Z,2016-08-28T20:00:00Z
CLSG,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2011-03-02T00:00:03Z,2011-06-21T00:00:00Z
CLSK,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2011-03-02T00:00:03Z,2017-06-28T01:59:30Z
CMBL,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2004-01-27T00:00:01Z,2013-07-24T00:30:00Z
CMBL,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2013-07-24T00:40:00Z,2014-12-03T01:37:59Z
