Station,Location,Band,Source,Sampling Rate,Axial,Reversed,Triggered,Start Date,End Date
A11,10,E,H,100,false,false,true,1993-02-01T01:23:00Z,1993-02-21T08:48:00Z
ABAZ,10,E,H,100,false,false,false,2008-10-13T04:00:00Z,2023-07-28T01:08:24Z
ABAZ,11,H,H,100,false,false,false,2023-07-28T01:09:36Z,2024-11-24T20:14:00Z
ABAZ,12,H,H,100,true,false,false,2024-11-20T02:16:00Z,9999-01-01T00:00:00Z
AC1A,10,H,H,100,false,false,false,2001-09-12T03:00:01Z,2002-01-22T22:00:00Z
AC2A,10,H,H,100,false,false,false,2001-09-13T02:00:01Z,2002-01-22T22:00:00Z
AC3A,10,H,H,100,false,false,false,2001-07-31T23:00:00Z,2002-01-22T23:00:00Z
AC4A,10,S,H,50,false,false,true,2001-08-01T01:00:00Z,2002-01-22T23:00:00Z
AC5A,10,H,H,100,false,false,false,2001-08-01T04:00:00Z,2001-11-27T23:00:00Z
ADCS,20,B,N,50,true,false,false,2015-01-29T23:00:00Z,2020-06-16T00:00:00Z
ADCS,20,H,N,200,true,false,true,2002-06-26T21:00:00Z,2024-08-20T02:55:00Z
AGA,10,S,H,50,false,false,true,1990-02-20T22:33:00Z,1992-04-07T17:01:00Z
AHAA,10,S,H,50,false,false,true,1995-11-19T17:31:00Z,1995-12-12T01:28:00Z
AHAM,50,L,F,1,true,false,false,2022-03-19T00:00:00Z,9999-01-01T00:00:00Z
AHAM,51,L,F,1,true,false,false,2022-03-19T00:00:00Z,9999-01-01T00:00:00Z
AICS,20,H,N,200,true,false,true,2003-08-18T04:00:00Z,2008-02-15T23:00:00Z
AKCZ,10,E,H,100,false,false,false,2012-03-01T00:00:00Z,9999-01-01T00:00:00Z
AKFZ,10,L,H,1,false,false,false,2023-03-21T02:06:00Z,9999-01-01T00:00:00Z
AKFZ,10,H,H,100,false,false,false,2023-03-21T02:06:00Z,9999-01-01T00:00:00Z
AKFZ,20,H,N,200,false,false,false,2023-03-21T02:06:00Z,9999-01-01T00:00:00Z
AKLS,20,H,N,200,true,false,false,2023-06-23T01:07:00Z,9999-01-01T00:00:00Z
AKSS,20,B,N,50,true,false,false,2011-08-25T00:25:00Z,2020-06-16T00:00:00Z
AKSS,20,H,N,200,true,false,true,2011-08-25T00:25:00Z,2020-07-06T22:21:00Z
AKSS,21,H,N,200,true,false,false,2025-08-13T23:52:00Z,9999-01-01T00:00:00Z
AKUS,20,B,N,50,true,false,false,2014-08-19T02:01:00Z,2017-02-16T01:00:00Z
AKUS,20,H,N,200,true,false,true,2002-06-19T00:00:00Z,2017-02-16T01:00:00Z
ALLC,10,S,H,50,false,false,true,2001-02-13T16:17:00Z,2001-07-07T18:55:00Z
ALRZ,10,E,H,100,false,false,false,2007-11-07T02:00:00Z,9999-01-01T00:00:00Z
ALS1R,01,,,-600,false,false,false,2023-02-24T01:09:00Z,2024-02-25T13:50:01Z
ALS1R,02,,,-600,false,false,false,2023-02-24T01:09:00Z,2024-02-25T13:50:01Z
ALS2R,01,,,-600,false,false,false,2023-02-23T03:59:00Z,2024-03-13T20:50:01Z
ALS2R,02,,,-600,false,false,false,2023-02-23T03:59:00Z,2024-03-13T20:50:01Z
AMBC,20,B,N,50,true,false,false,2010-03-25T01:00:00Z,2020-06-16T00:00:00Z
AMBC,20,H,N,200,true,false,true,2004-11-27T00:00:00Z,2020-12-14T00:45:00Z
AMBC,20,H,N,200,true,false,false,2020-12-15T02:00:00Z,9999-01-01T00:00:00Z
AMCZ,10,E,H,100,false,false,false,2012-06-26T23:00:01Z,9999-01-01T00:00:00Z
AMF,10,V,H,0.1,false,false,false,2008-03-11T22:01:00Z,2008-03-14T00:00:00Z
AMF,10,L,H,1,false,false,false,2008-03-11T22:01:00Z,2008-03-14T00:00:00Z
AMF,10,H,H,100,false,false,false,2008-03-11T22:01:00Z,2008-03-14T00:00:00Z
AN01,10,H,H,100,false,false,false,1999-10-30T00:00:02Z,2000-01-21T23:59:59Z
AN02,10,H,H,100,false,false,false,1999-11-02T00:00:02Z,2000-01-22T00:00:00Z
AN03,10,H,H,100,false,false,false,1999-11-03T00:00:02Z,2000-01-22T00:00:00Z
AN04,10,H,H,100,false,false,false,1999-11-03T00:00:02Z,2000-01-22T00:00:00Z
AN05,10,H,H,100,false,false,false,1999-11-03T00:00:02Z,2000-01-22T00:00:00Z
AN06,10,H,H,100,false,false,false,1999-11-08T00:00:02Z,2000-01-22T00:00:00Z
AN07,10,H,H,100,false,false,false,1999-11-08T00:00:02Z,2000-01-23T00:00:00Z
AN08,10,H,H,100,false,false,false,1999-11-09T00:00:02Z,2000-01-23T00:00:00Z
AN09,10,H,H,100,false,false,false,1999-12-07T00:00:02Z,2000-01-21T00:00:00Z
AN10,10,H,H,100,false,false,false,1999-12-07T00:00:02Z,2000-01-21T00:00:00Z
ANWZ,10,E,H,100,false,false,false,2008-08-07T00:05:00Z,9999-01-01T00:00:00Z
APIM,50,L,F,1,true,false,false,2011-07-25T00:00:00Z,9999-01-01T00:00:00Z
APIM,51,L,F,1,true,false,false,2011-07-25T00:00:00Z,9999-01-01T00:00:00Z
APPS,20,B,N,50,true,false,false,2014-08-15T00:05:00Z,2020-06-16T00:00:00Z
APPS,20,H,N,200,true,false,true,2001-11-12T00:00:00Z,9999-01-01T00:00:00Z
APUS,20,H,N,200,true,false,true,2004-08-15T22:00:00Z,2015-06-30T23:59:59Z
APZ,10,L,H,1,false,false,false,2006-05-07T03:23:54Z,9999-01-01T00:00:00Z
APZ,10,H,H,100,false,false,false,2006-05-07T03:23:54Z,9999-01-01T00:00:00Z
APZ,20,B,N,50,false,false,false,2007-05-02T22:00:01Z,2020-06-16T00:00:00Z
APZ,20,H,N,200,false,false,true,2007-05-02T22:00:01Z,2022-04-12T22:07:00Z
APZ,21,H,N,200,false,false,false,2022-04-13T03:37:00Z,9999-01-01T00:00:00Z
ARAZ,10,E,H,100,false,false,false,2007-05-20T23:00:00Z,9999-01-01T00:00:00Z
ARCZ,10,E,H,100,false,false,false,2014-05-13T00:05:00Z,9999-01-01T00:00:00Z
ARHZ,10,E,H,100,false,false,false,2010-03-11T21:16:00Z,9999-01-01T00:00:00Z
ARKE,10,S,H,50,false,false,true,1994-07-22T05:17:00Z,1994-12-12T23:16:00Z
ARKS,20,B,N,50,true,false,false,2015-02-23T00:00:05Z,2020-06-16T00:00:00Z
ARKS,20,H,N,200,true,false,true,2001-12-04T00:00:00Z,2020-02-08T23:59:59Z
ARKS,20,H,N,200,true,false,false,2020-02-09T00:00:00Z,2025-09-25T20:56:00Z
ARPC,10,S,H,50,false,false,true,2001-01-19T23:54:00Z,2001-07-04T07:21:00Z
