Station,Pid,WMO Identifier,Start Date,End Date
NZA,5501002,NZ41,2019-12-21T17:00:00Z,9999-01-01T00:00:00Z
NZB,5501003,NZ42,2020-09-18T00:00:00Z,9999-01-01T00:00:00Z
NZC,5401000,NZ43,2019-12-12T18:00:00Z,9999-01-01T00:00:00Z
NZD,5501004,NZ44,2021-07-23T00:00:00Z,9999-01-01T00:00:00Z
NZE,5401001,NZ45,2019-12-18T17:00:00Z,9999-01-01T00:00:00Z
NZF,5401002,NZ46,2019-12-17T00:00:00Z,9999-01-01T00:00:00Z
NZG,5401003,PA47,2020-09-10T00:00:00Z,9999-01-01T00:00:00Z
NZH,5401004,PA48,2020-09-04T00:00:00Z,9999-01-01T00:00:00Z
NZI,5401005,PA49,2020-09-08T00:00:00Z,9999-01-01T00:00:00Z
NZJ,5501005,PA50,2021-07-09T00:00:00Z,9999-01-01T00:00:00Z
NZK,5501006,PA51,2021-07-15T00:00:00Z,9999-01-01T00:00:00Z
NZL,5501007,PA52,2021-07-12T00:00:00Z,9999-01-01T00:00:00Z
