Gauge,Network,LINZ Number,Analysis Time Zone,Analysis Latitude,Analysis Longitude
AUCT,TG,363,180,36.5,174.47
CHIT,TG,352,180,44.02,176.22
CHST,TG,407,180,41.54,171.26
CPIT,TG,313,180,40.55,176.13
GBIT,TG,371,180,36.11,175.29
GIST,TG,78,180,38.4,178.02
KAIT,TG,106,180,42.25,173.42
LOTT,TG,357,180,37.33,178.1
MNKT,TG,90,180,37.03,174.31
NAPT,TG,97,180,39.29,176.55
NCPT,TG,162,180,34.25,173.02
OTAT,TG,362,180,45.49,170.39
PUYT,TG,355,180,46.05,166.35
RBCT,TG,367,180,29.17,-177.54
RFRT,TG,198,180,29.15,-177.55
SUMT,TG,370,180,43.34,172.46
TAUT,TG,73,180,37.39,176.11
WLGT,TG,71,180,41.17,174.47
