Sample,Location,Latitude,Longitude,Elevation,Depth,Datum,Survey,Start Date,End Date
NA000,MC01,-39.156798,175.631871,2197.0,,WGS84,External GPS Device,2003-07-17T00:00:00Z,9999-01-01T00:00:00Z
NA001,MC01,-39.1562653309,175.631464065,2280,,WGS84,External GPS Device,1978-07-01T00:00:00Z,9999-01-01T00:00:00Z
NA002,MC01,-39.156415,175.634722,2280,,WGS84,External GPS Device,1973-11-27T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,-38.53350,176.17212,293,,WGS84,External GPS Device,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,-38.52966,176.173480,299,,WGS84,External GPS Device,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,-38.47326,176.1425,299,,WGS84,External GPS Device,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,-38.2819,176.3997,380,,WGS84,External GPS Device,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,-38.28358,176.39503,380,,WGS84,External GPS Device,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,-38.038819,176.382087,278,,WGS84,External GPS Device,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,-38.045405,176.35628,278,,WGS84,External GPS Device,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT012,MC01,-38.043892,176.35742,279,,WGS84,External GPS Device,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT013,MC01,-38.03853,176.549492,300,,WGS84,External GPS Device,2003-01-30T00:00:00Z,9999-01-01T00:00:00Z
OT014,MC01,-38.269847,176.417669,332,,WGS84,External GPS Device,2008-12-18T00:00:00Z,9999-01-01T00:00:00Z
OT015,MC01,-38.264235,176.418689,332,,WGS84,External GPS Device,2008-12-18T00:00:00Z,9999-01-01T00:00:00Z
OT016,MC01,-38.243532,176.43328,310,,WGS84,External GPS Device,2003-01-17T00:00:00Z,9999-01-01T00:00:00Z
OT016,MC02,-38.243532,176.43328,310,,WGS84,External GPS Device,2003-01-17T00:00:00Z,2013-01-17T00:00:00Z
OT018,MC01,-38.326951,176.304881,370,,WGS84,External GPS Device,2008-12-02T00:00:00Z,9999-01-01T00:00:00Z
OT019,MC01,-38.327288,176.304462,374,,WGS84,External GPS Device,2008-12-02T00:00:00Z,2014-04-10T00:00:00Z
OT020,MC01,-38.327358,176.304534,376,,WGS84,External GPS Device,2008-12-02T00:00:00Z,2008-12-02T00:00:00Z
OT021,MC01,-38.359303,176.368744,340,,WGS84,External GPS Device,2001-04-03T00:00:00Z,9999-01-01T00:00:00Z
OT022,MC01,-38.088952,176.699564,31,,WGS84,External GPS Device,2005-11-17T00:00:00Z,2018-06-13T00:00:00Z
