Station,Location,Latitude,Longitude,Elevation,Depth,Datum,Survey,Start Date,End Date
001A,20,-35.725078358,174.319380032,20,,WGS84,Topographic Map,1970-04-18T00:00:00Z,1980-06-13T00:00:00Z
002A,20,-41.731390489,171.800124453,300,,WGS84,Topographic Map,1968-05-24T00:00:00Z,1968-07-23T00:00:00Z
003A,20,-41.748290028,171.483120368,20,,WGS84,Topographic Map,1968-05-24T00:00:00Z,1968-07-23T00:00:00Z
007A,20,-37.138805002,175.54078941,20,,WGS84,Topographic Map,1970-09-10T00:00:00Z,1984-10-26T00:00:00Z
007B,20,-37.138805002,175.54078941,20,,WGS84,Topographic Map,1984-10-26T00:00:00Z,2002-09-02T00:00:00Z
012A,20,-36.852898199,174.768781238,40,,WGS84,Topographic Map,1996-05-22T00:00:00Z,2000-06-20T00:00:00Z
012B,20,-36.853198243,174.785481435,20,,WGS84,Topographic Map,2000-06-20T00:00:00Z,2002-09-03T00:00:00Z
013A,20,-39.199944229,175.542181904,1140,,WGS84,Topographic Map,1995-09-25T00:00:00Z,1996-05-21T00:00:00Z
014A,20,-39.49995332,176.875497281,27,,WGS84,Topographic Map,1991-07-30T00:00:00Z,2002-04-23T00:00:00Z
015A,20,-39.489053142,176.898197601,60,,WGS84,Topographic Map,1991-07-30T00:00:00Z,1999-07-05T00:00:00Z
016A,20,-38.677439098,178.031014335,120,,WGS84,Topographic Map,1991-08-01T00:00:00Z,2002-07-31T00:00:00Z
017A,20,-38.666238861,178.022714269,20,,WGS84,Topographic Map,1989-08-10T00:00:00Z,1999-06-17T00:00:00Z
018A,20,-38.664038822,178.024914304,6,,WGS84,Topographic Map,1975-07-17T00:00:00Z,2006-02-22T00:00:00Z
018B,20,-38.664038822,178.024914304,6,,WGS84,Topographic Map,1974-04-06T00:00:00Z,2006-02-22T00:00:00Z
018C,20,-38.664038822,178.024914304,6,,WGS84,Topographic Map,1974-04-06T00:00:00Z,2006-02-22T00:00:00Z
018D,20,-38.664038822,178.024914304,6,,WGS84,Topographic Map,1974-04-06T00:00:00Z,2006-02-22T00:00:00Z
019B,20,-38.686335129,176.067090235,360,,WGS84,Topographic Map,1983-07-04T00:00:00Z,1983-09-16T00:00:00Z
019C,20,-38.686335129,176.067090235,360,,WGS84,Topographic Map,1991-09-16T00:00:00Z,1999-06-15T00:00:00Z
020A,20,-38.806539842,177.150703093,260,,WGS84,Topographic Map,1966-01-24T00:00:00Z,1992-12-03T00:00:00Z
020B,20,-38.806539842,177.150703093,260,,WGS84,Topographic Map,1992-12-03T00:00:00Z,2005-02-11T00:00:00Z
021A,20,-38.424930574,176.315694205,320,,WGS84,Topographic Map,1991-09-16T00:00:00Z,2002-08-02T00:00:00Z
022A,20,-38.407929744,176.088191493,260,,WGS84,Topographic Map,1996-04-23T00:00:00Z,2004-06-16T00:00:00Z
023A,20,-39.057437773,174.025963856,20,,WGS84,Topographic Map,1995-01-25T00:00:00Z,1997-06-17T00:00:00Z
023B,20,-39.057437773,174.025963856,20,,WGS84,Topographic Map,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
023C,20,-39.057437773,174.025963856,20,,WGS84,Topographic Map,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
023D,20,-39.057437773,174.025963856,20,,WGS84,Topographic Map,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
023E,20,-39.057437773,174.025963856,20,,WGS84,Topographic Map,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
023F,20,-39.057437773,174.025963856,20,,WGS84,Topographic Map,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
023G,20,-39.057437773,174.025963856,20,,WGS84,Topographic Map,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
024A,20,-39.057037882,174.073964444,20,,WGS84,Topographic Map,1969-12-03T00:00:00Z,2003-07-08T00:00:00Z
025A,20,-39.584949183,174.273464776,100,,WGS84,Topographic Map,1994-09-19T00:00:00Z,2002-03-13T00:00:00Z
027A,20,-39.504553459,176.895997519,14,,WGS84,Topographic Map,1966-01-24T00:00:00Z,1973-03-28T00:00:00Z
027C,20,-39.504553459,176.895997519,14,,WGS84,Topographic Map,1973-03-28T00:00:00Z,1987-07-15T00:00:00Z
027D,20,-39.504653461,176.895997519,14,,WGS84,Topographic Map,1987-07-15T00:00:00Z,1988-04-12T00:00:00Z
027E,20,-39.488553176,176.919097862,20,,WGS84,Topographic Map,1988-04-12T00:00:00Z,1994-12-06T00:00:00Z
027F,20,-39.488553176,176.918997861,20,,WGS84,Topographic Map,1994-12-06T00:00:00Z,1996-07-08T00:00:00Z
027G,20,-39.488553176,176.918997861,20,,WGS84,Topographic Map,1996-07-08T00:00:00Z,2002-04-22T00:00:00Z
028A,20,-38.007924686,177.284007421,3,,WGS84,Topographic Map,1991-08-03T00:00:00Z,1994-12-11T00:00:00Z
029A,20,-39.645456278,176.842996361,10,,WGS84,Topographic Map,1989-08-08T00:00:00Z,2002-04-24T00:00:00Z
030A,20,-38.009024677,177.26940724,20,,WGS84,Topographic Map,1994-12-11T00:00:00Z,2002-08-01T00:00:00Z
031A,20,-39.930458304,175.054373069,20,,WGS84,Topographic Map,1982-10-16T00:00:00Z,1983-12-05T00:00:00Z
032A,20,-39.942461994,176.587392109,140,,WGS84,Topographic Map,1981-07-01T00:00:00Z,2005-06-23T00:00:00Z
033A,20,-40.208766639,176.098485017,200,,WGS84,Topographic Map,1980-03-24T00:00:00Z,1990-04-03T00:00:00Z
033B,20,-40.208866641,176.098485017,200,,WGS84,Topographic Map,1990-02-20T00:00:00Z,1990-04-03T00:00:00Z
033C,20,-40.210266664,176.095484974,200,,WGS84,Topographic Map,1990-04-03T00:00:00Z,2001-01-09T00:00:00Z
034A,20,-40.398271231,176.313987007,140,,WGS84,Topographic Map,1990-02-20T00:00:00Z,1995-08-07T00:00:00Z
035A,20,-40.401071285,176.310486953,140,,WGS84,Topographic Map,1995-08-07T00:00:00Z,2001-06-11T00:00:00Z
037A,20,-40.209066649,176.100485041,200,,WGS84,Topographic Map,2001-06-11T00:00:00Z,2002-07-29T00:00:00Z
038A,20,-40.898782125,176.220983947,20,,WGS84,Topographic Map,1994-12-05T00:00:00Z,2001-06-26T00:00:00Z
039A,20,-40.948281991,175.659576658,120,,WGS84,Topographic Map,1966-09-21T00:00:00Z,1986-04-30T00:00:00Z
039C,20,-40.948281991,175.659576658,120,,WGS84,Topographic Map,1976-06-01T00:00:00Z,1979-05-01T00:00:00Z
039D,20,-40.948281991,175.659676659,120,,WGS84,Topographic Map,1986-04-30T00:00:00Z,2002-08-29T00:00:00Z
039E,20,-40.948281991,175.659676659,120,,WGS84,Topographic Map,1989-04-13T00:00:00Z,2002-07-29T00:00:00Z
040A,20,-41.576295417,175.226868649,20,,WGS84,Topographic Map,1990-10-16T00:00:00Z,2001-12-12T00:00:00Z
041A,20,-41.389090883,175.14646839,20,,WGS84,Topographic Map,1990-10-16T00:00:00Z,1990-11-15T00:00:00Z
042A,20,-42.523312238,172.830433813,360,,WGS84,Topographic Map,1990-10-12T00:00:00Z,2000-05-09T00:00:00Z
042B,20,-42.523312238,172.830133809,360,,WGS84,Topographic Map,2000-11-14T00:00:00Z,2002-02-24T00:00:00Z
043A,20,-45.862594802,170.513885736,20,,WGS84,Topographic Map,1990-10-10T00:00:00Z,1994-02-24T00:00:00Z
043B,20,-45.862594802,170.513985738,20,,WGS84,Topographic Map,1994-02-24T00:00:00Z,2002-06-09T00:00:00Z
044A,20,-45.898395816,170.509285464,20,,WGS84,Topographic Map,1990-10-10T00:00:00Z,2002-06-08T00:00:00Z
045A,20,-41.271083656,173.283245302,20,,WGS84,Topographic Map,1970-05-26T00:00:00Z,1991-10-08T00:00:00Z
046A,20,-41.271083656,173.2831453,20,,WGS84,Topographic Map,1991-10-08T00:00:00Z,2002-10-07T00:00:00Z
047A,20,-41.275783768,173.284645298,20,,WGS84,Topographic Map,1993-03-02T00:00:00Z,1993-11-01T00:00:00Z
048A,20,-41.513890944,173.957052761,9,,WGS84,Topographic Map,1969-11-04T00:00:00Z,1973-10-18T00:00:00Z
048B,20,-41.513890944,173.957052761,9,,WGS84,Topographic Map,1973-10-18T00:00:00Z,1976-06-29T00:00:00Z
048C,20,-41.513790942,173.957152763,9,,WGS84,Topographic Map,1976-06-29T00:00:00Z,1985-08-22T00:00:00Z
048D,20,-41.513790942,173.957152763,9,,WGS84,Topographic Map,1985-08-28T00:00:00Z,2002-10-24T00:00:00Z
049A,20,-42.687512864,171.541816478,160,,WGS84,Topographic Map,1995-10-25T00:00:00Z,2001-08-27T00:00:00Z
050A,20,-41.124579612,173.009642508,5,,WGS84,Topographic Map,1993-03-03T00:00:00Z,2002-10-09T00:00:00Z
051A,20,-41.755490513,171.598921795,5,,WGS84,Topographic Map,1966-11-16T00:00:00Z,1987-11-23T00:00:00Z
051B,20,-41.755490513,171.598921795,5,,WGS84,Topographic Map,1987-11-23T00:00:00Z,1991-10-10T00:00:00Z
051C,20,-41.755490513,171.598921795,5,,WGS84,Topographic Map,1991-10-10T00:00:00Z,1993-03-04T00:00:00Z
051D,20,-41.755490513,171.598921795,5,,WGS84,Topographic Map,1993-03-04T00:00:00Z,2002-04-16T00:00:00Z
052A,20,-42.11659981,171.86042336,200,,WGS84,Topographic Map,1971-08-19T00:00:00Z,1995-04-06T00:00:00Z
053A,20,-42.378607404,172.332928123,580,,WGS84,Topographic Map,1969-11-02T00:00:00Z,1979-02-18T00:00:00Z
054A,20,-43.882536123,169.04307787,20,,WGS84,Topographic Map,1993-03-06T00:00:00Z,2002-04-11T00:00:00Z
055A,20,-42.448806087,171.210613443,20,,WGS84,Topographic Map,1991-10-11T00:00:00Z,2002-04-19T00:00:00Z
056A,20,-41.275783769,173.285145305,20,,WGS84,Topographic Map,1993-11-01T00:00:00Z,2002-10-07T00:00:00Z
057A,20,-42.71781202,170.964308929,6,,WGS84,Topographic Map,1969-10-31T00:00:00Z,1989-03-03T00:00:00Z
057B,20,-42.71631198,170.963408925,20,,WGS84,Topographic Map,1989-03-03T00:00:00Z,1992-06-19T00:00:00Z
057C,20,-42.71661199,170.964008932,20,,WGS84,Topographic Map,1993-03-05T00:00:00Z,2001-11-12T00:00:00Z
058A,20,-42.119699895,171.864323394,200,,WGS84,Topographic Map,1995-04-06T00:00:00Z,2002-02-25T00:00:00Z
059A,20,-41.094078158,172.714038932,780,,WGS84,Topographic Map,1995-10-25T00:00:00Z,2012-12-31T23:59:59Z
060A,20,-42.813020531,173.273238159,60,,WGS84,Topographic Map,1966-11-17T00:00:00Z,1997-06-22T00:00:00Z
060B,20,-42.814120558,173.273238154,60,,WGS84,Topographic Map,1993-06-25T00:00:00Z,1994-10-14T00:00:00Z
060C,20,-42.814120558,173.273238154,60,,WGS84,Topographic Map,1997-06-22T00:00:00Z,2002-02-23T00:00:00Z
061A,20,-43.074720298,170.735904147,80,,WGS84,Topographic Map,1997-10-17T00:00:00Z,1999-05-26T00:00:00Z
061B,20,-43.074720298,170.735904147,80,,WGS84,Topographic Map,1999-05-26T00:00:00Z,2003-09-07T00:00:00Z
062A,20,-43.388026694,170.187595415,180,,WGS84,Topographic Map,1997-10-17T00:00:00Z,2002-04-14T00:00:00Z
063A,20,-44.135046433,170.279492505,960,,WGS84,Topographic Map,1985-05-01T00:00:00Z,1996-02-16T00:00:00Z
064A,20,-43.733835355,170.095392331,760,,WGS84,Topographic Map,1983-05-21T00:00:00Z,2002-07-03T00:00:00Z
