Station,Network,Name,Latitude,Longitude,Elevation,Depth,Datum,Start Date,End Date
001A,SM,Whangarei Telephone Exchange,-35.725078358,174.319380032,20,,WGS84,1970-04-18T00:00:00Z,1980-06-13T00:00:00Z
002A,SM,Denniston Fire Station,-41.731390489,171.800124453,300,,WGS84,1968-05-24T00:00:00Z,1968-07-23T00:00:00Z
003A,SM,Cape Foulwind,-41.748290028,171.483120368,20,,WGS84,1968-05-24T00:00:00Z,1968-07-23T00:00:00Z
007A,SM,Thames Chief Post Office,-37.138805002,175.54078941,20,,WGS84,1970-09-10T00:00:00Z,1984-10-26T00:00:00Z
007B,SM,Thames Telephone Exchange,-37.138805002,175.54078941,20,,WGS84,1984-10-26T00:00:00Z,2002-09-02T00:00:00Z
012A,SM,Auckland University,-36.852898199,174.768781238,40,,WGS84,1996-05-22T00:00:00Z,2000-06-20T00:00:00Z
012B,SM,Engineering School (survey store),-36.853198243,174.785481435,20,,WGS84,2000-06-20T00:00:00Z,2002-09-03T00:00:00Z
013A,SM,Chateau Tongariro,-39.199944229,175.542181904,1140,,WGS84,1995-09-25T00:00:00Z,1996-05-21T00:00:00Z
014A,SM,Napier Civil Defence,-39.49995332,176.875497281,27,,WGS84,1991-07-30T00:00:00Z,2002-04-23T00:00:00Z
015A,SM,Napier Hospital,-39.489053142,176.898197601,60,,WGS84,1991-07-30T00:00:00Z,1999-07-05T00:00:00Z
016A,SM,Gisborne Kaiti Hill,-38.677439098,178.031014335,120,,WGS84,1991-08-01T00:00:00Z,2002-07-31T00:00:00Z
017A,SM,Gisborne 2ZG,-38.666238861,178.022714269,20,,WGS84,1989-08-10T00:00:00Z,1999-06-17T00:00:00Z
018A,SM,Gisborne Chief Post Office A,-38.664038822,178.024914304,6,,WGS84,1975-07-17T00:00:00Z,2006-02-22T00:00:00Z
018B,SM,Gisborne Chief Post Office B,-38.664038822,178.024914304,6,,WGS84,1974-04-06T00:00:00Z,2006-02-22T00:00:00Z
018C,SM,Gisborne Chief Post Office C,-38.664038822,178.024914304,6,,WGS84,1974-04-06T00:00:00Z,2006-02-22T00:00:00Z
018D,SM,Gisborne Chief Post Office D,-38.664038822,178.024914304,6,,WGS84,1974-04-06T00:00:00Z,2006-02-22T00:00:00Z
019B,SM,Taupo Police Station,-38.686335129,176.067090235,360,,WGS84,1983-07-04T00:00:00Z,1983-09-16T00:00:00Z
019C,SM,Taupo Police Station,-38.686335129,176.067090235,360,,WGS84,1991-09-16T00:00:00Z,1999-06-15T00:00:00Z
020A,SX,Tuai Power Station,-38.806539842,177.150703093,260,,WGS84,1966-01-24T00:00:00Z,1992-12-03T00:00:00Z
020B,SX,Tuai Power Station,-38.806539842,177.150703093,260,,WGS84,1992-12-03T00:00:00Z,2005-02-11T00:00:00Z
021A,SM,Reporoa Anchor Dairy Factory,-38.424930574,176.315694205,320,,WGS84,1991-09-16T00:00:00Z,2002-08-02T00:00:00Z
022A,SX,Ohakuri Hydro,-38.407929744,176.088191493,260,,WGS84,1996-04-23T00:00:00Z,2004-06-16T00:00:00Z
023A,SX,New Plymouth Power Station A,-39.057437773,174.025963856,20,,WGS84,1995-01-25T00:00:00Z,1997-06-17T00:00:00Z
023B,SX,New Plymouth Power Station B,-39.057437773,174.025963856,20,,WGS84,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
023C,SX,New Plymouth Power Station C,-39.057437773,174.025963856,20,,WGS84,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
023D,SX,New Plymouth Power Station D,-39.057437773,174.025963856,20,,WGS84,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
023E,SX,New Plymouth Power Station E,-39.057437773,174.025963856,20,,WGS84,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
023F,SX,New Plymouth Power Station F,-39.057437773,174.025963856,20,,WGS84,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
023G,SX,New Plymouth Power Station G,-39.057437773,174.025963856,20,,WGS84,1995-01-25T00:00:00Z,1996-08-13T00:00:00Z
024A,SM,New Plymouth Post Office,-39.057037882,174.073964444,20,,WGS84,1969-12-03T00:00:00Z,2003-07-08T00:00:00Z
