Mount,View,Label,Azimuth,Method,Dip,Description,Start Date,End Date
CHTB,01,Christchurch looking East,90,,0,Images of Christchurch towards the east,2011-11-28T00:00:03Z,2019-02-24T21:00:00Z
CHTB,02,Christchurch looking North East,45,,0,Images of Christchurch towards the north-east,2011-11-28T00:00:03Z,2019-02-24T21:00:00Z
CHTB,03,Christchurch looking North West,315,,0,Images of Christchurch towards the north-west,2011-11-28T00:00:00Z,2019-02-24T21:00:00Z
DISC,01,Ruapehu from North,155,,0,Images of Mount Ruapehu from the volcano camera situated at Discovery Lodge.,2020-07-28T02:20:00Z,9999-01-01T00:00:00Z
DISC,02,Ngauruhoe from West,90,,0,Images of Mount Ngauruhoe from the volcano camera situated at Discovery Lodge.,2020-07-28T23:40:00Z,9999-01-01T00:00:00Z
KAKA,01,Tongariro from North,0,,0,Images of Mount Tongariro from the volcano camera situated at Kakaramea.,2011-09-05T00:01:00Z,2017-03-04T04:40:03Z
KAKA,01,Tongariro from North,0,,0,Images of Mount Tongariro from the volcano camera situated at Kakaramea.,2021-08-01T23:35:11Z,9999-01-01T00:00:00Z
KAKA,02,Tongariro from North,0,,0,Images of Mount Tongariro from the volcano camera situated at Kakaramea.,2017-03-04T04:50:03Z,2021-07-28T10:40:00Z
KMTP,01,Ruapehu & Ngauruhoe from East,290,,10,Images of Mounts Ruapehu and Ngauruhoe from the volcano camera situated at Tai Ping.,2009-03-03T02:00:00Z,9999-01-01T00:00:00Z
MNTA,01,Ruapehu from North,155,,0,Images of Mount Ruapehu from the volcano camera situated at Chateau Airport.,2000-11-14T13:00:10Z,2020-07-27T21:20:00Z
MNTA,02,Ngauruhoe from West,90,,0,Images of Mount Ngauruhoe from the volcano camera situated at Chateau Airport.,2002-04-09T13:00:10Z,2020-07-27T21:20:00Z
MNTA,03,Ngauruhoe from West,90,,0,Images of Mount Ngauruhoe from the volcano camera situated at Chateau Airport.,2008-04-14T06:54:45Z,2008-04-24T02:31:34Z
MTSR,01,Ruapehu from South,0,,0,Images of Mount Ruapehu from the volcano camera situated at Mangateitei.,2011-09-08T00:10:00Z,9999-01-01T00:00:00Z
PIHA,01,Tongariro from North East,0,,0,Images of Mount Tongariro from the volcano camera situated at Pihanga,2015-05-28T00:01:00Z,2019-03-04T20:30:00Z
RIMK,01,Raoul Island,0,,0,Images looking into Green Lake on Raoul Island from the volcano camera situated on Mount Moumoukai.,2009-05-18T00:00:02Z,9999-01-01T00:00:00Z
RUD01,01,Tukino Skifield,266,,-60,SO2 from Ruapehu from Tukino Skifield,2022-05-05T05:13:00Z,9999-01-01T00:00:00Z
RUD02,01,Iwikau Village,172,,-60,SO2 from Ruapehu from Iwikau Village,2022-05-06T00:00:00Z,9999-01-01T00:00:00Z
RUD03,01,Turoa Road End,51,,-60,SO2 from Ruapehu from Turoa Road End,2023-06-28T03:30:00Z,9999-01-01T00:00:00Z
RUD04,01,Wahianoa,330,,-60,SO2 from Ruapehu from Wahianoa,2024-02-07T23:00:00Z,9999-01-01T00:00:00Z
TEMO,01,Taranaki Maunga from New Plymouth,180,,0,Images of Taranaki Maunga from the volcano camera situated in New Plymouth.,2002-09-18T13:00:10Z,2012-04-02T22:45:00Z
TEMO,02,Taranaki Maunga from New Plymouth,180,,0,Images of Taranaki Maunga from the volcano camera situated in New Plymouth.,2012-04-03T00:15:00Z,9999-01-01T00:00:00Z
