Key,Author,Year,Title,Published,Volume,Pages,DOI,Link,Retrieved
Barker1994,"Barker, P.R.",1994,Report on cone penetrometer and seismic cone penetrometer testing at selected sites in lower North Island,Report prepared by Barker Consulting for Engineering Seismology Section Institute of Geological and Nuclear Sciences,,,,,
Barker1996,"Barker, P.R.",1996,Report on cone penetrometer and seismic cone penetrometer testing at six sites in South Island,Report prepared by Baker Consulting for Engineering Seismology Section Institute of Geological and Nuclear Sciences,,,,,
Boon2010,"Boon, D.P., Perrin, N.D., Dellow, G.D., and Lukovic, B.",2010,It's Our Fault: geological and geotechnical characterisation and site class revision of the LOwer Hut Valley,GNS Science Consultancy Report,164,p56,,,
Carpentier2013,"Carpentier, S.F.A., Green, A.G., Langridge, R., Hurter, F., Kaiser, A., Horstmeyer, H., and Finnemore, M.",2013,Seismic imaging of the Alpine Fault near Inchbonnie New Zealand,Journal of Geophysical Research,118(1),416-431,,,
Cousins1996,"Cousins, W.J., Perrin, N.D., McVerry, G.H., Hefford, R.T., and Porritt, T.E.",1996,Ground conditions at strong-motion recording sites in New Zealand Lower Hutt,Institute of Geological and Nuclear Sciences report,96/23,p244,,,
Dorn2010,"Dorn, C., Green, A.G., Jongens, R., Carpentier, S., Kaiser, A.E., Campbell, F., Finnemore, M., and Pettinga, J.",2010,High resolution seismic images of potentially seismogenic structures beneath the northwest Canterbury Plains New Zealand,Journal of Geophysical Research,115(B11),,,,
Fry2020,"Fry, B., S.-J. McCurrach, K. Gledhill, W. Power, M. Williams, M. Angove, D. Arcas, and C. Moore",2020,Sensor network warns of stealth tsunamis,Eos,101,,https://doi.org/10.1029/2020EO144274,,
Gns1902,GNS Science,1902,New Zealand Geomagnetic Database,GNS Science Datasets Catalogue,,,https://doi.org/10.21420/5q60-k348,,
Gns1954,GNS Science,1954,GeoNet Aotearoa New Zealand Manually Collected Volcano Data[Data set],GNS Science Datasets Catalogue,,,https://doi.org/10.21420/PSP7-KW60,,
Gns1995a,GNS Science,1995,GeoNet Aotearoa New Zealand Continuous GNSS Network - RINEX Files[Data set],GNS Science Datasets Catalogue,,,https://doi.org/10.21420/RXKE-AZ44,,
Gns1995b,GNS Science,1995,GeoNet Aotearoa New Zealand Continuous GNSS Network - Time Series Dataset[Data set],GNS Science Datasets Catalogue,,,https://doi.org/10.21420/30F4-1A55,,
Gns2007a,GNS Science,2007,GeoNet Aotearoa New Zealand Coastal Tsunami Gauge Digital Waveform Dataset[Data set],GNS Science Datasets Catalogue,,,https://doi.org/10.21420/EJ6W-RC96,,
Gns2007b,GNS Science,2007,GeoNet Aotearoa New Zealand Structural Array Dataset[Data set],GNS Science Datasets Catalogue,,,https://doi.org/10.21420/5M59-SM97,,
Gns2018a,GNS Science,2018,GeoNet Aotearoa New Zealand Automatically Collected Volcano Data[Data set],GNS Science Datasets Catalogue,,,https://doi.org/10.21420/EN0F-XY29,,
Gns2020a,GNS Science,2020,GeoNet Aotearoa New Zealand Deep-ocean Assessment and Reporting of Tsunami (DART) Dataset[Data set],GNS Science Datasets Catalogue,,,https://doi.org/10.21420/8TCZ-TV02,,
Gns2021a,GNS Science,2021,GeoNet Aotearoa New Zealand Seismic Digital Waveform Dataset[Data set],GNS Science Datasets Catalogue,,,https://doi.org/10.21420/G19Y-9D40,,
Gns2021b,GNS Science,2021,GeoNet Aotearoa New Zealand Strong Motion Data Products[Data set],GNS Science Datasets Catalogue,,,https://doi.org/10.21420/X0MD-MV58,,
Gns2022a,GNS Science,2022,GeoNet Aotearoa New Zealand Acoustic Digital Waveform Dataset[Data set],GNS Science Datasets Catalogue,,,https://doi.org/10.21420/0PRR-YT69,,
Gns2022b,GNS Science,2022,GeoNet Aotearoa New Zealand ScanDOAS Data,GNS Science Datasets Catalogue[Data set],,,https://doi.org/10.21420/HC1t-QJ63,,
Gns2023a,GNS Science,2023,GNS Science Shaking Layers Dataset,GNS Science Datasets Catalogue[Data set],,,https://doi.org/10.21420/J856-2J84,,
Jeong2015,"Jeong, S., and Bradley, B.A.",2015,Simulation of 2D site response at Heathcote Valley during the 2010-2011 Canterbury earthquake sequence,10th Pacific Conference on Earthquake Engineering,,p8,,,
Kaiser2006a,"Kaiser, A.E., and Louie, J.N.",2006,Shear-wave velocities in Parkway basin Wainuiomata from refraction microtremor surface wave dispersion,GNS Science Report,2006/24,,,,
