Domain,Network,Key,Tilde
acoustic,HA,Gns2022a,false
camera,VC,,false
coastal,LG,Gns2007a,true
coastal,TG,Gns2007a,true
dart,TD,Gns2020a,true
envirosensor,EN,Gns2018a,true
geomag,GM,Gns1902,true
gnss,CG,Gns1995a,false
gnss,CG,Gns1995b,true
gnss,GN,Gns1995a,false
gnss,GN,Gns1995b,true
gnss,IG,Gns1995a,false
gnss,IG,Gns1995b,true
gnss,LI,Gns1995a,false
gnss,LI,Gns1995b,true
gnss,SA,Gns1995a,false
gnss,SA,Gns1995b,true
manualcollect,MC,Gns1954,true
scandoas,EN,Gns2022b,true
seismic,AK,Gns2021a,false
seismic,CB,Gns2021a,false
seismic,CH,Gns2021a,false
seismic,CY,Gns2021a,false
seismic,EC,Gns2021a,false
seismic,FI,Gns2021a,false
seismic,HB,Gns2021a,false
seismic,IU,Usgs2014,false
seismic,KI,Gns2021a,false
seismic,NM,Gns2021a,false
seismic,NX,Gns2021a,false
seismic,NZ,Gns2021a,false
seismic,OT,Gns2021a,false
seismic,PK,Gns2021a,false
seismic,RA,Gns2021a,false
seismic,RT,Gns2021a,false
seismic,SB,Gns2007b,false
seismic,SC,Gns2021a,false
seismic,SI,Gns2021a,false
seismic,SM,Gns2021a,false
seismic,SM,Gns2021b,false
seismic,SP,Gns2021a,false
seismic,SX,Gns2021a,false
seismic,SX,Gns2021b,false
seismic,TP,Gns2021b,false
seismic,TR,Gns2021b,false
seismic,WL,Gns2021b,false
seismic,XX,Gns2021b,false
