Domain,Method,Description,Reference
envirosensor,max,"The maximum value of the observation over the output interval","https://help.campbellsci.com/crbasic/cr1000x/Content/Instructions/maximum.htm"
envirosensor,min,"The minimum value of the observation over the output interval","https://help.campbellsci.com/crbasic/cr1000x/Content/Instructions/minimum.htm"
envirosensor,snapshot,"The value of the observation at the measurement time",
manualcollect,accumulation-chamber,"An upside down bucket-shaped collection device is placed on the ground surface. A sensor in the chamber measures the concentration of gas coming from the ground beneath the chamber","https://www.geonet.org.nz/volcano/how"
manualcollect,contouring,"While an aircraft flies through a plume at different altitudes, a pump inside the aircraft sucks in gases and instruments measure the concentration","https://www.geonet.org.nz/volcano/how"
manualcollect,cospec,"A correlation spectrometer that measures absorption of ultraviolet light by SO2 from beneath a volcanic plume","https://www.geonet.org.nz/volcano/how"
manualcollect,flyspec,"A miniaturised UV spectrometer system that measures absorption of ultraviolet light by SO2 from beneath a volcanic plume","https://www.geonet.org.nz/volcano/how"
manualcollect,image-distance-conversion,"Using a photographic image and a natural  object of known or estimated size in the image, estimate the size of another object or the distance between two points in the image",""
manualcollect,infrared-thermometer,"A thermometer which infers temperature from a portion of the thermal radiation spectrum. Sometimes called a laser thermometer or temperature gun","https://en.wikipedia.org/wiki/Infrared_thermometer"
manualcollect,lake-levelling,"A lake is used like a large tiltmeter. Water level is measured “”simultaneously”"" at multiple points around the lake shore relative to a reference point. The water level can be used as a proxy for ground uplift or subsidence","https://www.tandfonline.com/doi/pdf/10.1080/00288306.2002.9514964"
manualcollect,levelling,"Use of an optical level and survey staff to measure the relative height between two locations, and subsequently round a network of points, returning to the starting location","https://en.wikipedia.org/wiki/Levelling"
manualcollect,manual-count,"A count of the total number of events in a given time period. The count of either carried out completely manually, or has a manual review of an automatic detection process",""
manualcollect,mobile-doas,"A differential optical absorption spectrometry (DOAS) instrument that is small enough to be operated from an aircraft and make observations of SO2 concentration from beneath a volcanic plume","https://www.geonet.org.nz/volcano/how"
manualcollect,photo-comparison,"Photographing a water surface against a staff gauge and using that to estimate the water level to a precision greater than that of markings on the staff gauge",""
manualcollect,staff-gauge,"A calibrated scale which used to provide a visual indication of water level","https://en.wikipedia.org/wiki/Staff_gauge"
manualcollect,thermal-camera,"A thermographic camera that senses infrared radiation","https://en.wikipedia.org/wiki/Forward-looking_infrared"
manualcollect,thermocouple,"A thermoelectrical thermometer","https://en.wikipedia.org/wiki/Thermocouple"
manualcollect,thermometer,"A mercury thermometer","https://en.wikipedia.org/wiki/Thermometer"
manualcollect,vertical-angle-rangefinder,"A measurement of vertical angle and distance using a laser rangefinder","https://en.wikipedia.org/wiki/Laser_rangefinder"
manualcollect,water-analysis-lab,"A physical sample is analysed in a laboratory. For water samples, this is typically the New Zealand Geothermal Analytical Laboratory (NZGAL)","https://www.gns.cri.nz/partner-with-us/labs-and-facilities/new-zealand-geothermal-analytical-laboratory/"
