Type,Sampling Rate,Azimuth,Dip,Code,Axial,Flags
Broadband Seismometer,100,0,-90,HHZ,,G
Broadband Seismometer,100,0,0,HHN,HH1,G
Broadband Seismometer,100,90,0,HHE,HH2,G
Short Period Seismometer,100,0,-90,EHZ,,G
Short Period Seismometer,100,0,0,EHN,EH1,G
Short Period Seismometer,100,90,0,EHE,EH2,G
Strong Motion Sensor,200,0,-90,HNZ,,G
Strong Motion Sensor,200,0,0,HNN,HN1,G
Strong Motion Sensor,200,90,0,HNE,HN2,G
Accelerometer,200,0,-90,HNZ,,G
Accelerometer,200,0,0,HNN,HN1,G
Accelerometer,200,90,0,HNE,HN2,G
