Code,Tags
AUCK,igs|linz|rt
BLUF,linz|rt
CHTI,igs|linz|rt
CORM,linz|rt
DNVK,linz|rt
DUND,igs|linz|rt
GISB,linz|rt
GLDB,linz|rt
HAAS,linz|rt
HAST,linz|rt
HIKB,linz|rt
HOKI,linz|rt
KAIK,linz|rt
KTIA,linz|rt
LEXA,linz|rt
LKTA,linz|rt
MAHO,linz|rt
MAVL,linz|rt
METH,linz|rt
MQZG,igs|linz|rt
MTJO,linz|rt
NLSN,linz|rt
NPLY,linz|rt
PYGR,linz|rt
SCTB,linz|rt
TAUP,linz|rt
TRNG,linz|rt
VGMT,linz|rt
WAIM,linz|rt
WANG,linz|rt
WARK,igs|linz|rt
WEST,linz|rt
WGTN,igs|linz|rt
WHKT,linz|rt
WHNG,linz|rt
WRPA,linz|rt
